InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,20.25,1
2,01/01/2021,10.5,2
3,01/01/2021,1.25,3
4,01/01/2021,17,4
5,01/02/2021,10.95,5
6,01/02/2021,10,6
7,01/02/2021,6.25,7
8,01/02/2021,15.399999999999999,8
9,01/02/2021,15.399999999999999,9
10,01/02/2021,33.25,10
11,01/02/2021,20.65,11
12,01/03/2021,15.45,12
13,01/03/2021,2.5,13
14,01/04/2021,14.049999999999999,14
15,01/04/2021,0.95,15
16,01/04/2021,1.25,16
17,01/04/2021,6.75,17
18,01/04/2021,10.15,18
19,01/04/2021,23.1,19
20,01/04/2021,8.75,20
21,01/04/2021,1.9,21
22,01/04/2021,3,22
23,01/05/2021,31.4,23
24,01/05/2021,19.799999999999997,24
25,01/05/2021,6.4,25
26,01/05/2021,2.25,26
27,01/05/2021,0.95,27
28,01/05/2021,12.25,28
29,01/05/2021,6.25,29
30,01/05/2021,9.5,30
31,01/05/2021,24.75,31
32,01/05/2021,13.7,32
33,01/06/2021,15.75,33
34,01/06/2021,8.65,34
35,01/07/2021,7.5,35
36,01/07/2021,6.25,36
37,01/07/2021,1.5,37
38,01/07/2021,31.049999999999997,38
39,01/07/2021,8.549999999999999,39
40,01/07/2021,15.5,40
41,01/07/2021,9,41
42,01/07/2021,8.25,42
43,01/07/2021,6.6499999999999995,43
44,01/08/2021,7.5,44
45,01/08/2021,24.5,45
46,01/08/2021,12.2,46
47,01/09/2021,7.6,47
48,01/09/2021,26.35,48
49,01/09/2021,2.8499999999999996,49
50,01/09/2021,9.45,50
51,01/09/2021,19.75,51
52,01/09/2021,0.95,52
53,01/10/2021,5.699999999999999,53
54,01/11/2021,3.5,54
55,01/11/2021,18.75,55
56,01/12/2021,4.75,56
57,01/12/2021,35.25,57
58,01/12/2021,1.9,58
59,01/12/2021,6.2,59
60,01/12/2021,13.5,60
61,01/12/2021,2.25,61
62,01/12/2021,19.5,62
63,01/12/2021,4.75,63
64,01/12/2021,17.3,64
65,01/13/2021,14.25,65
66,01/13/2021,22.549999999999997,66
67,01/13/2021,2.25,67
68,01/13/2021,14.799999999999999,68
69,01/13/2021,6.25,69
70,01/14/2021,15.75,70
71,01/14/2021,39.5,71
72,01/15/2021,23.3,72
73,01/15/2021,16.25,73
74,01/15/2021,44.3,74
75,01/15/2021,0.95,75
76,01/15/2021,3.8,76
77,01/15/2021,2.5,77
78,01/15/2021,12.7,78
79,01/15/2021,23.549999999999997,79
80,01/15/2021,18.6,80
81,01/16/2021,7.95,81
82,01/16/2021,1.5,82
83,01/16/2021,6.75,83
84,01/16/2021,12.899999999999999,84
85,01/16/2021,10,85
86,01/16/2021,6.75,86
87,01/16/2021,18.65,87
88,01/16/2021,17.75,88
89,01/16/2021,16.25,89
90,01/17/2021,17.25,90
91,01/17/2021,3.75,91
92,01/17/2021,0.75,92
93,01/17/2021,15.75,93
94,01/17/2021,4.75,94
95,01/17/2021,17.5,95
96,01/17/2021,7.25,96
97,01/17/2021,6.75,97
98,01/18/2021,18.7,98
99,01/18/2021,24.05,99
100,01/18/2021,15.299999999999999,100
101,01/18/2021,13.9,101
102,01/18/2021,28.799999999999997,102
103,01/18/2021,4.5,103
104,01/18/2021,28.549999999999997,104
105,01/19/2021,36,105
106,01/19/2021,15,106
107,01/19/2021,14.25,107
108,01/19/2021,4.75,108
109,01/19/2021,10.45,109
110,01/19/2021,13.75,110
111,01/19/2021,12.5,111
112,01/19/2021,24.5,112
113,01/20/2021,2.25,113
114,01/20/2021,5.25,114
115,01/20/2021,7,115
116,01/20/2021,8.549999999999999,116
117,01/20/2021,11.25,117
118,01/20/2021,0.75,118
119,01/20/2021,9.149999999999999,119
