InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,208000,1
2,01/01/2021,252000,2
3,01/01/2021,70000,3
4,01/01/2021,752000,4
5,01/02/2021,615000,5
6,01/02/2021,312000,6
7,01/02/2021,110004.75,7
8,01/02/2021,595000,8
9,01/02/2021,210006.65,9
10,01/02/2021,798000,10
11,01/02/2021,721000,11
12,01/03/2021,759000,12
13,01/03/2021,78000,13
14,01/04/2021,330008.55,14
15,01/04/2021,55000,15
16,01/04/2021,70000,16
17,01/04/2021,495000,17
18,01/04/2021,715000,18
19,01/04/2021,719000,19
20,01/04/2021,266000,20
21,01/04/2021,110000,21
22,01/04/2021,220000,22
23,01/05/2021,352006.65,23
24,01/05/2021,275005.7,24
25,01/05/2021,440000,25
26,01/05/2021,165000,26
27,01/05/2021,55000,27
28,01/05/2021,420004.75,28
29,01/05/2021,350000,29
30,01/05/2021,675000,30
31,01/05/2021,506000,31
32,01/05/2021,128005.7,32
33,01/06/2021,378000,33
34,01/06/2021,605000,34
35,01/07/2021,550000,35
36,01/07/2021,350000,36
37,01/07/2021,110000,37
38,01/07/2021,108008.55,38
39,01/07/2021,495000,39
40,01/07/2021,985000,40
41,01/07/2021,660000,41
42,01/07/2021,339000,42
43,01/07/2021,6.6499999999999995,43
44,01/08/2021,284000,44
45,01/08/2021,1106000,45
46,01/08/2021,165000,46
47,01/09/2021,440000,47
48,01/09/2021,751000,48
49,01/09/2021,165000,49
50,01/09/2021,275005.7,50
51,01/09/2021,404000,51
52,01/09/2021,55000,52
53,01/10/2021,330000,53
54,01/11/2021,84000,54
55,01/11/2021,770000,55
56,01/12/2021,275000,56
57,01/12/2021,272000,57
58,01/12/2021,110000,58
59,01/12/2021,181000,59
60,01/12/2021,132000,60
61,01/12/2021,165000,61
62,01/12/2021,765000,62
63,01/12/2021,275000,63
64,01/12/2021,678000,64
65,01/13/2021,247000,65
66,01/13/2021,831000,66
67,01/13/2021,22000,67
68,01/13/2021,190008.55,68
69,01/13/2021,351000,69
70,01/14/2021,154000,70
71,01/14/2021,144009.5,71
72,01/15/2021,1330000,72
73,01/15/2021,494000,73
74,01/15/2021,796000,74
75,01/15/2021,0.95,75
76,01/15/2021,220000,76
77,01/15/2021,78000,77
78,01/15/2021,830000,78
79,01/15/2021,402002.85,79
80,01/15/2021,319000,80
81,01/16/2021,168000.95,81
82,01/16/2021,110000,82
83,01/16/2021,334000,83
84,01/16/2021,575000,84
85,01/16/2021,368000,85
86,01/16/2021,495000,86
87,01/16/2021,468000,87
88,01/16/2021,394000,88
89,01/16/2021,440000,89
90,01/17/2021,862000,90
91,01/17/2021,210000,91
92,01/17/2021,55000,92
93,01/17/2021,378000,93
94,01/17/2021,275000,94
95,01/17/2021,266000,95
96,01/17/2021,294000,96
97,01/17/2021,495000,97
98,01/18/2021,862000,98
99,01/18/2021,554003.8,99
100,01/18/2021,591000,100
101,01/18/2021,507000,101
102,01/18/2021,693000,102
103,01/18/2021,330000,103
104,01/18/2021,815000,104
105,01/19/2021,584000,105
106,01/19/2021,242000,106
107,01/19/2021,385007.6,107
108,01/19/2021,154000,108
109,01/19/2021,605000,109
110,01/19/2021,935000,110
111,01/19/2021,564000,111
112,01/19/2021,954000,112
113,01/20/2021,165000,113
114,01/20/2021,385000,114
115,01/20/2021,142002.85,115
116,01/20/2021,495000,116
117,01/20/2021,110000,117
118,01/20/2021,55000,118
119,01/20/2021,525000,119
120,01/20/2021,110000,120
121,01/20/2021,207000,121
122,01/20/2021,1155000,122
123,01/21/2021,853000,123
124,01/21/2021,770002.85,124
125,01/21/2021,550000,125
126,01/21/2021,1155000,126
127,01/22/2021,690000,127
128,01/22/2021,495000.95,128
129,01/22/2021,275000,129
130,01/22/2021,399005.7,130
131,01/22/2021,162000,131
132,01/22/2021,715000,132
133,01/22/2021,385004.75,133
134,01/22/2021,1210000,83
135,01/23/2021,190006.65,134
136,01/23/2021,55000,135
137,01/24/2021,440007.6,136
138,01/24/2021,228000.95,137
139,01/24/2021,451000,138
140,01/24/2021,330000,139
141,01/25/2021,728000,140
142,01/25/2021,220006.65,141
143,01/25/2021,66002.85,142
144,01/25/2021,8.549999999999999,143
145,01/25/2021,198008.55,144
146,01/25/2021,550000,145
147,01/25/2021,201000,146
148,01/25/2021,201000,147
149,01/25/2021,292000,148
150,01/25/2021,756000,149
151,01/26/2021,371004.75,150
152,01/26/2021,825000,151
153,01/26/2021,565000,152
154,01/26/2021,223006.65,153
155,01/26/2021,461000,154
156,01/26/2021,456000,155
157,01/27/2021,495000,156
158,01/28/2021,264000,157
159,01/28/2021,280000,158
160,01/28/2021,55000,159
161,01/28/2021,420000,160
162,01/28/2021,1036000,161
163,01/28/2021,180000,162
164,01/28/2021,883000,163
165,01/28/2021,275000,164
166,01/28/2021,330000,165
167,01/28/2021,235000,166
168,01/29/2021,563000,167
169,01/29/2021,812000,168
170,01/29/2021,264003.8,169
171,01/29/2021,613007.6,170
172,01/29/2021,581000,171
173,01/29/2021,195000,172
174,01/29/2021,375000,173
175,01/29/2021,679000,174
176,01/29/2021,440000,175
177,01/29/2021,274000,176
178,01/29/2021,523000,177
179,01/29/2021,539000,178
180,01/29/2021,378000,179
181,01/30/2021,1806000,180
182,01/30/2021,350001.9,181
183,01/30/2021,224000,182
184,01/30/2021,1017000,183
185,01/30/2021,169000,184
186,01/30/2021,376000,185
187,01/31/2021,154000,186
188,01/31/2021,900000,187
189,01/31/2021,485000,188
190,01/31/2021,220000,189
191,01/31/2021,560008.55,190
192,01/31/2021,819000,191
193,01/31/2021,642000,192
194,01/31/2021,595007.6,193
195,01/31/2021,5.699999999999999,194
196,01/31/2021,715000,195
197,01/31/2021,140000,196
198,02/01/2021,539000,197
199,02/01/2021,165000,198
200,02/01/2021,658003.8,199
201,02/01/2021,774000,200
202,02/01/2021,385001.9,201
203,02/01/2021,110006.65,202
204,02/01/2021,330000,203
205,02/01/2021,322000,204
206,02/02/2021,440000,205
207,02/02/2021,553000,206
208,02/02/2021,517000,207
209,02/02/2021,1001000,208
210,02/02/2021,140000,209
211,02/02/2021,714000,210
212,02/02/2021,256000,211
213,02/02/2021,345000,212
214,02/02/2021,338008.55,213
215,02/03/2021,1100000,214
216,02/03/2021,579000,215
217,02/03/2021,290000,216
218,02/03/2021,55000,217
219,02/03/2021,696000,218
220,02/03/2021,638000,219
221,02/03/2021,572000,220
222,02/03/2021,192000,221
223,02/04/2021,812000,222
224,02/04/2021,304000,223
225,02/04/2021,252000,224
226,02/04/2021,330000,225
227,02/04/2021,330000,226
228,02/04/2021,275000,227
229,02/05/2021,560000,228
230,02/05/2021,195000,229
231,02/05/2021,560000,230
232,02/05/2021,468000,231
233,02/05/2021,364000,232
234,02/05/2021,440003.80000000005,233
235,02/05/2021,582000,234
236,02/05/2021,482000,235
237,02/05/2021,877000,236
238,02/05/2021,550000,237
239,02/06/2021,220002.85,238
240,02/07/2021,126000,239
241,02/07/2021,1059000,240
242,02/07/2021,495000,241
243,02/07/2021,495006.65,242
244,02/07/2021,552007.6,243
245,02/07/2021,110000,244
246,02/07/2021,495000,245
247,02/07/2021,335001.9,246
248,02/08/2021,220000,247
249,02/08/2021,818000,248
250,02/08/2021,476000,249
251,02/09/2021,789000,250
252,02/09/2021,1196000,251
253,02/09/2021,165000,252
254,02/09/2021,385000,253
255,02/09/2021,190000,254
256,02/09/2021,252000,255
257,02/09/2021,44007.6,256
258,02/09/2021,275000,257
259,02/09/2021,385000,258
260,02/10/2021,517000,259
261,02/10/2021,42005.7,260
262,02/10/2021,747000,261
263,02/10/2021,3.8,262
264,02/11/2021,628000,263
265,02/11/2021,409000,264
266,02/11/2021,418000,265
267,02/11/2021,158000,266
268,02/12/2021,382000,267
269,02/12/2021,763000,268
270,02/12/2021,330000,269
271,02/12/2021,665000,270
272,02/12/2021,8.549999999999999,271
273,02/12/2021,350002.85,272
274,02/12/2021,560008.55,273
275,02/12/2021,13.299999999999999,228
276,02/13/2021,165000,274
277,02/13/2021,160000,275
278,02/13/2021,405000,276
279,02/13/2021,566000,277
280,02/13/2021,305002.85,278
281,02/13/2021,591000,279
282,02/13/2021,420007.6,280
283,02/13/2021,1090000,281
284,02/13/2021,330000,282
285,02/13/2021,719000,283
286,02/13/2021,452000,284
287,02/13/2021,218000,285
288,02/13/2021,210000,286
289,02/13/2021,495000,83
290,02/14/2021,951000,287
291,02/14/2021,584000,288
292,02/14/2021,165000,289
293,02/14/2021,522000,290
294,02/14/2021,140007.6,291
295,02/14/2021,55008.55,292
296,02/14/2021,385000,293
297,02/14/2021,55000,294
298,02/14/2021,1119000,295
299,02/14/2021,902000,296
300,02/14/2021,7.6,297
301,02/14/2021,165000,298
302,02/15/2021,178002.85,299
303,02/15/2021,378000,300
304,02/15/2021,110000,301
305,02/15/2021,304000,302
306,02/15/2021,378000,303
307,02/15/2021,1050000,304
308,02/15/2021,36003.8,305
309,02/15/2021,836000,306
310,02/15/2021,64004.75,307
311,02/15/2021,527000,176
312,02/16/2021,806000,308
313,02/16/2021,198000,309
314,02/16/2021,1195000,310
315,02/16/2021,385000,311
316,02/16/2021,462000,312
317,02/16/2021,616000,313
318,02/16/2021,306000,314
319,02/16/2021,715000,315
320,02/16/2021,220002.85,316
321,02/16/2021,22000,317
322,02/16/2021,396000,318
323,02/16/2021,110000,319
324,02/16/2021,342000,320
325,02/16/2021,304000,321
326,02/17/2021,176002.85,322
327,02/17/2021,312009.5,323
328,02/17/2021,374000,324
329,02/17/2021,711000,325
330,02/17/2021,10.45,326
331,02/17/2021,165000,327
332,02/17/2021,495000,328
333,02/17/2021,385000,329
334,02/17/2021,1100000,330
335,02/17/2021,624000,331
336,02/17/2021,275000,332
337,02/17/2021,275000,333
338,02/17/2021,818000,334
339,02/17/2021,560000,335
340,02/17/2021,110000,336
341,02/18/2021,110000,337
342,02/18/2021,590000,338
343,02/18/2021,368008.55,339
344,02/18/2021,1002000,340
345,02/18/2021,440004.75,341
346,02/18/2021,686000,342
347,02/18/2021,915000,343
348,02/18/2021,560000,344
349,02/18/2021,495000,345
350,02/18/2021,174000,346
351,02/18/2021,506000,347
352,02/18/2021,715004.75,348
353,02/19/2021,266002.85,349
354,02/19/2021,550000,350
355,02/19/2021,144000,351
356,02/19/2021,168000,352
357,02/19/2021,2.8499999999999996,353
358,02/19/2021,6.6499999999999995,354
359,02/19/2021,154000,355
360,02/19/2021,385000,356
361,02/19/2021,140000,357
362,02/19/2021,456000,358
363,02/19/2021,694000,359
364,02/19/2021,110000,360
365,02/19/2021,220000,361
366,02/20/2021,642000,362
367,02/20/2021,42001.9,363
368,02/20/2021,346000,364
369,02/20/2021,385000,365
370,02/21/2021,320000,366
371,02/21/2021,210008.55,367
372,02/21/2021,1119000,368
373,02/21/2021,495000,369
374,02/21/2021,55000.95,370
375,02/22/2021,440000,371
376,02/22/2021,490000,372
377,02/22/2021,165000,373
378,02/22/2021,218000,374
379,02/22/2021,715000,375
380,02/22/2021,866000,376
381,02/22/2021,671000,377
382,02/22/2021,514006.65,378
383,02/22/2021,952000,379
384,02/22/2021,8.549999999999999,380
385,02/22/2021,76000,381
386,02/22/2021,570000,315
387,02/23/2021,497000,382
388,02/23/2021,6.6499999999999995,383
389,02/23/2021,385000,384
390,02/23/2021,550000,385
391,02/23/2021,550000,386
392,02/23/2021,66000,387
393,02/23/2021,385005.7,388
394,02/23/2021,468000,389
395,02/23/2021,8.549999999999999,390
396,02/23/2021,128000,391
397,02/23/2021,236000,392
398,02/23/2021,751002.85,393
399,02/23/2021,1403000,394
400,02/23/2021,5.699999999999999,82
401,02/23/2021,812000,315
402,02/24/2021,274000,395
403,02/24/2021,882000,396
404,02/24/2021,3.8,397
405,02/24/2021,152000,398
406,02/24/2021,114000,399
407,02/24/2021,38000,400
408,02/24/2021,977003.8,401
409,02/24/2021,176000,402
410,02/24/2021,964000,403
411,02/24/2021,0.95,404
412,02/24/2021,362000,405
413,02/24/2021,165000,228
414,02/25/2021,454000,406
415,02/25/2021,350000,83
416,02/26/2021,210007.6,407
417,02/26/2021,1.9,408
418,02/26/2021,1135000,409
419,02/26/2021,165000,410
420,02/26/2021,294000,411
421,02/26/2021,965000,412
422,02/26/2021,256000,413
423,02/27/2021,630000,414
424,02/27/2021,472000,415
425,02/27/2021,1197000,416
426,02/27/2021,252005.7,417
427,02/27/2021,220003.8,418
428,02/27/2021,187003.8,419
429,02/27/2021,548000,420
430,02/27/2021,495000,421
431,02/27/2021,288000,82
432,02/27/2021,495005.7,228
433,02/28/2021,220000,422
434,02/28/2021,4.75,423
435,02/28/2021,511000,424
436,02/28/2021,494000,425
437,02/28/2021,1077000,426
438,02/28/2021,440000,427
439,02/28/2021,735000,428
440,02/28/2021,88000,429
441,02/28/2021,7.6,430
442,02/28/2021,110007.6,431
443,02/28/2021,84000,432
444,03/01/2021,782000,433
445,03/01/2021,516000,434
446,03/01/2021,18007.6,435
447,03/01/2021,825000,436
448,03/01/2021,336000,437
449,03/01/2021,304000,438
450,03/01/2021,1105000,439
451,03/01/2021,490000,440
452,03/02/2021,751000,441
453,03/02/2021,362005.7,442
454,03/03/2021,228000,443
455,03/03/2021,761000.95,444
456,03/03/2021,627000,445
457,03/03/2021,337000,446
458,03/04/2021,197000,447
459,03/04/2021,784000,448
460,03/04/2021,646000,449
461,03/04/2021,568000,450
462,03/04/2021,818000,451
463,03/04/2021,624000,452
464,03/04/2021,715000,453
465,03/04/2021,330000,454
466,03/04/2021,495004.75,455
467,03/04/2021,638006.65,456
468,03/04/2021,151000,457
469,03/04/2021,275000,458
470,03/04/2021,696000,459
471,03/05/2021,174003.8,460
472,03/05/2021,10.45,461
473,03/05/2021,615000,462
474,03/06/2021,598002.85,463
475,03/06/2021,428002.85,464
476,03/06/2021,96000,465
477,03/06/2021,385000,466
478,03/06/2021,88000,467
479,03/06/2021,664000,468
480,03/06/2021,875000,469
481,03/06/2021,440003.8,470
482,03/06/2021,770000,471
483,03/06/2021,680000,472
484,03/06/2021,625004.75,473
485,03/06/2021,820000,83
486,03/07/2021,440003.8,474
487,03/07/2021,512000,475
488,03/07/2021,336000,476
489,03/07/2021,18000,477
490,03/07/2021,433000,478
491,03/07/2021,944000,479
492,03/07/2021,578000,480
493,03/07/2021,1.9,481
494,03/07/2021,805000,482
495,03/07/2021,780000,483
496,03/08/2021,96000,484
497,03/08/2021,440000,485
498,03/08/2021,0.95,486
499,03/08/2021,330000,487
500,03/08/2021,616000,488
501,03/08/2021,495000,489
502,03/08/2021,275000,490
503,03/08/2021,485000,491
504,03/08/2021,186000,492
505,03/08/2021,288000,176
506,03/09/2021,280002.85,493
507,03/09/2021,1142000,494
508,03/09/2021,220000,495
509,03/09/2021,154000,496
510,03/09/2021,300002.85,497
511,03/09/2021,3.8,498
512,03/09/2021,362000,499
513,03/09/2021,110000,500
514,03/09/2021,266007.6,501
515,03/09/2021,495000,502
516,03/10/2021,688000,503
517,03/10/2021,243001.9,504
518,03/10/2021,110000,505
519,03/10/2021,154000,506
520,03/11/2021,501000.95,507
521,03/11/2021,342003.8,508
522,03/11/2021,367000,509
523,03/11/2021,987000,510
524,03/11/2021,265000,511
525,03/11/2021,220000,512
526,03/11/2021,414000,513
527,03/11/2021,658000,514
528,03/11/2021,110000,515
529,03/11/2021,550000,516
530,03/11/2021,165001.9,517
531,03/11/2021,747000,518
532,03/11/2021,358000,519
533,03/11/2021,385000,520
534,03/11/2021,578000,521
535,03/11/2021,210000,377
536,03/12/2021,1313000,522
537,03/12/2021,350000,523
538,03/12/2021,256008.55,524
539,03/12/2021,139000,525
540,03/13/2021,509000,526
541,03/13/2021,462000,476
542,03/14/2021,88002.85,527
543,03/14/2021,726000,528
544,03/14/2021,452000,529
545,03/14/2021,70000,530
546,03/14/2021,550002.85,531
547,03/14/2021,165000,532
548,03/14/2021,440000,533
549,03/14/2021,1290000,534
550,03/14/2021,624000,228
551,03/15/2021,364000,535
552,03/15/2021,385000,536
553,03/15/2021,341000.95,537
554,03/15/2021,418000,538
555,03/15/2021,816000,539
556,03/15/2021,494000.95,540
557,03/15/2021,275000,541
558,03/16/2021,560001.9,542
559,03/16/2021,740001.9,543
560,03/16/2021,803000,544
561,03/16/2021,656000,545
562,03/16/2021,330000,546
563,03/17/2021,275000,547
564,03/17/2021,822000,548
565,03/17/2021,692000,549
566,03/17/2021,215000,550
567,03/17/2021,915000,551
568,03/17/2021,54000,552
569,03/17/2021,482000,553
570,03/18/2021,183000,554
571,03/18/2021,110000,555
572,03/18/2021,655000,556
573,03/19/2021,275001.9,557
574,03/19/2021,55000,558
575,03/19/2021,110000,559
576,03/19/2021,412000,560
577,03/19/2021,275000,561
578,03/19/2021,192000,562
579,03/20/2021,236005.7,563
580,03/20/2021,757000,564
581,03/20/2021,420000,565
582,03/20/2021,500000,566
583,03/20/2021,1150000,567
584,03/20/2021,429000,568
585,03/21/2021,583006.65,569
586,03/21/2021,194000,570
587,03/21/2021,728000,571
588,03/21/2021,695000,572
589,03/21/2021,636000,573
590,03/21/2021,249000,574
591,03/21/2021,330005.7,575
592,03/21/2021,385000,576
593,03/21/2021,440000,577
594,03/21/2021,690000,578
595,03/22/2021,280006.65,579
596,03/22/2021,733000,580
597,03/22/2021,531000,581
598,03/22/2021,770000,582
599,03/22/2021,605000,583
600,03/22/2021,455000,584
601,03/22/2021,176004.75,585
602,03/22/2021,756000,586
603,03/22/2021,1032000,587
604,03/22/2021,385000,588
605,03/22/2021,378000,476
606,03/23/2021,1210000,589
607,03/23/2021,2.8499999999999996,590
608,03/23/2021,430000,591
609,03/23/2021,606001.9,592
610,03/23/2021,468000,593
611,03/23/2021,317000,594
612,03/24/2021,110000,595
613,03/24/2021,440000.95,596
614,03/24/2021,5.699999999999999,597
615,03/24/2021,64000,377
616,03/25/2021,252006.65,598
617,03/25/2021,420000,599
618,03/25/2021,630000,600
619,03/25/2021,715000,601
620,03/25/2021,440000,602
621,03/25/2021,228000,603
622,03/25/2021,252000,604
