InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,343.5,1
2,01/02/2021,10,2
3,01/02/2021,173.8,3
4,01/03/2021,222,4
5,01/03/2021,100,5
6,01/04/2021,141.45,6
7,01/05/2021,31.8,7
8,01/06/2021,168,8
9,01/06/2021,48,9
10,01/07/2021,183,10
11,01/08/2021,12,11
12,01/08/2021,108,12
13,01/09/2021,92,13
14,01/10/2021,123.5,14
15,01/11/2021,132.8,15
16,01/12/2021,108,16
17,01/12/2021,20,17
18,01/13/2021,84,18
19,01/13/2021,112,19
20,01/14/2021,156,20
21,01/15/2021,74,21
22,01/16/2021,155.6,22
23,01/17/2021,169.5,23
24,01/18/2021,169.25,24
25,01/19/2021,106,25
26,01/20/2021,124,26
27,01/21/2021,62,27
28,01/22/2021,221,28
29,01/22/2021,105,29
30,01/23/2021,49.4,30
31,01/23/2021,222.7,31
32,01/24/2021,24,32
33,01/24/2021,50,33
34,01/25/2021,139.5,34
35,01/26/2021,252.7,35
36,01/27/2021,285.6,36
37,01/27/2021,38.4,37
38,01/28/2021,78,38
39,01/29/2021,309.35,39
40,01/30/2021,84,40
41,01/31/2021,263.4,41
42,02/01/2021,195.8,42
43,02/01/2021,95,43
44,02/02/2021,97.25,44
45,02/03/2021,212,45
46,02/04/2021,118,46
47,02/04/2021,96,47
48,02/04/2021,283.65,48
49,02/05/2021,337.04999999999995,49
50,02/05/2021,124,50
51,02/05/2021,123.9,51
52,02/06/2021,144,52
53,02/06/2021,100,53
54,02/07/2021,199.2,54
55,02/08/2021,165,55
56,02/09/2021,136,56
57,02/10/2021,77.8,57
58,02/10/2021,136.15,58
59,02/11/2021,10,59
60,02/11/2021,73.6,60
61,02/12/2021,244.15,61
62,02/12/2021,168,62
63,02/13/2021,75,63
64,02/13/2021,250,64
65,02/14/2021,167.8,65
66,02/14/2021,75.9,66
67,02/15/2021,149.4,67
68,02/15/2021,90,68
69,02/15/2021,89.6,69
70,02/16/2021,304.65,70
71,02/17/2021,73.6,71
72,02/18/2021,62,72
73,02/18/2021,133.4,73
74,02/19/2021,77.8,74
75,02/19/2021,108,75
76,02/20/2021,82.35,76
77,02/20/2021,77.5,77
78,02/20/2021,60,78
79,02/21/2021,116.69999999999999,79
80,02/21/2021,189.6,80
81,02/22/2021,129.39999999999998,81
82,02/22/2021,50.45,82
83,02/23/2021,203.3,83
84,02/23/2021,136.15,84
85,02/23/2021,18,85
