Id,Quantity,SalesAmount,InvoiceId,ProductId
2,9,1800,1,1
2,8,800,1,9
2,9,2025,1,6
3,1,180,2,11
4,2,300,3,8
4,6,1200,3,1
4,7,1260,3,11
5,5,1000,4,1
5,1,300,4,2
5,8,2400,4,2
6,4,140,5,5
6,4,1400,5,3
7,5,900,6,11
7,4,1200,6,2
7,1,275,6,7
8,2,300,7,8
9,8,1200,8,4
9,2,200,8,9
10,4,800,9,1
11,9,1080,10,10
11,5,1750,10,3
12,1,120,11,10
13,5,175,12,5
13,1,150,12,4
13,4,140,12,5
14,2,240,13,10
14,2,70,13,5
14,4,800,13,1
15,4,1400,14,3
15,4,480,14,10
15,1,225,14,6
16,4,140,15,5
16,4,1100,15,7
16,1,350,15,3
17,3,105,16,5
17,2,700,16,3
17,4,400,16,9
18,2,70,17,5
19,2,400,18,1
19,6,210,18,5
20,4,600,19,8
20,2,300,19,8
20,2,700,19,3
21,5,600,20,10
21,8,800,20,9
22,1,100,21,9
22,4,900,21,6
23,8,2200,22,7
24,5,750,23,8
24,6,2100,23,3
25,5,1375,24,7
25,4,1200,24,2
26,3,300,25,9
26,1,180,25,11
26,5,600,25,10
27,8,1800,26,6
28,4,900,27,6
29,5,175,28,5
29,9,3150,28,3
29,2,600,28,2
30,7,2450,29,3
31,2,300,30,8
31,2,450,30,6
32,2,600,31,2
32,7,1260,31,11
32,6,1650,31,7
33,2,400,32,1
34,5,900,33,11
35,9,2025,34,6
36,5,1500,35,2
36,5,750,35,8
36,6,1650,35,7
37,8,2200,36,7
37,6,1080,36,11
37,7,245,36,5
38,2,300,37,8
38,2,360,37,11
39,1,300,38,2
39,5,600,38,10
40,6,900,39,8
40,8,2200,39,7
40,3,825,39,7
41,7,700,40,9
42,3,540,41,11
42,6,1650,41,7
42,6,1650,41,7
43,4,600,42,8
43,1,350,42,3
43,8,2400,42,2
44,3,1050,43,3
44,5,175,43,5
45,5,1375,44,7
46,6,600,45,9
46,8,280,45,5
46,5,500,45,9
47,9,2475,46,7
47,2,600,46,2
48,1,35,47,5
48,1,35,47,5
48,2,550,47,7
49,3,825,48,7
49,7,1400,48,1
50,9,2475,49,7
50,1,350,49,3
50,9,1350,49,4
51,3,105,50,5
51,2,300,50,4
51,7,2100,50,2
52,4,600,51,4
52,6,720,51,10
53,4,800,52,1
53,6,1200,52,1
53,4,600,52,8
54,1,300,53,2
54,4,600,53,8
55,7,2450,54,3
55,3,1050,54,3
55,8,1200,54,8
56,1,225,55,6
56,1,225,55,6
56,6,210,55,5
57,7,1925,56,7
58,7,1050,57,8
58,7,840,57,10
58,1,150,57,8
59,9,1350,58,4
60,7,245,59,5
60,2,200,59,9
60,1,120,59,10
61,3,300,60,9
61,7,1050,60,4
61,9,1350,60,8
62,2,300,61,8
63,4,1100,62,7
64,2,360,63,11
65,5,1500,64,2
65,4,1100,64,7
66,1,150,65,8
66,6,210,65,5
67,6,210,66,5
67,2,300,66,8
67,4,600,66,4
68,9,1350,67,8
68,3,1050,67,3
69,6,210,68,5
69,7,1260,68,11
70,4,1400,69,3
70,7,1925,69,7
70,4,480,69,10
71,7,1050,70,4
72,2,450,71,6
72,7,700,71,9
72,2,300,71,8
73,4,1100,72,7
73,5,600,72,10
73,6,900,72,8
74,5,1375,73,7
74,3,300,73,9
75,7,1925,74,7
75,1,200,74,1
76,1,150,75,8
77,8,2800,76,3
78,7,1925,77,7
78,5,1500,77,2
79,5,600,78,10
79,7,1050,78,8
80,4,140,79,5
80,8,2800,79,3
81,4,720,80,11
81,3,450,80,8
81,8,1200,80,8
82,2,450,81,6
83,6,210,82,5
83,5,750,82,4
84,8,1200,83,8
84,1,275,83,7
85,7,1050,84,8
85,4,720,84,11
85,6,900,84,8
86,6,2100,85,3
87,5,750,86,8
87,5,600,86,10
87,4,1400,86,3
88,1,275,87,7
88,7,1925,87,7
88,8,2200,87,7
89,8,1440,88,11
90,7,2450,89,3
90,6,210,89,5
90,7,1050,89,8
91,3,825,90,7
91,1,100,90,9
91,5,1750,90,3
92,1,35,91,5
92,6,720,91,10
93,7,245,92,5
93,2,600,92,2
94,2,300,93,8
94,5,1375,93,7
94,2,240,93,10
95,9,1620,94,11
95,1,350,94,3
96,6,2100,95,3
97,2,700,96,3
97,8,960,96,10
98,9,1350,97,8
98,9,900,97,9
99,4,480,98,10
100,5,750,99,8
100,3,450,99,8
100,1,35,99,5
101,1,200,100,1
101,3,900,100,2
101,5,1750,100,3
102,6,1080,101,11
102,6,900,101,8
102,8,1200,101,8
103,3,900,102,2
103,8,2400,102,2
103,7,1050,102,8
104,9,1350,103,8
104,5,1500,103,2
105,3,450,104,4
