InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2022,3430,1
2,01/01/2022,2800,2
3,01/01/2022,1430,3
4,01/01/2022,2925,4
5,01/01/2022,150,5
6,01/01/2022,970,6
7,01/01/2022,3975,7
8,01/02/2022,740,8
9,01/02/2022,1305,9
10,01/02/2022,2820,10
11,01/02/2022,705,11
12,01/02/2022,2950,12
13,01/02/2022,450,13
14,01/02/2022,315,14
15,01/02/2022,200,15
16,01/02/2022,750,16
17,01/02/2022,3800,17
18,01/02/2022,175,18
19,01/02/2022,2050,19
20,01/02/2022,1300,20
21,01/03/2022,1030,21
22,01/03/2022,2400,22
23,01/03/2022,2775,23
24,01/04/2022,1075,24
25,01/04/2022,475,25
26,01/04/2022,1225,26
27,01/05/2022,1200,27
28,01/05/2022,1190,28
29,01/05/2022,2290,29
30,01/05/2022,245,30
31,01/05/2022,2525,31
32,01/05/2022,715,32
33,01/05/2022,2475,33
34,01/05/2022,750,34
35,01/06/2022,2475,35
36,01/06/2022,1120,36
37,01/06/2022,2700,37
38,01/07/2022,540,38
39,01/07/2022,1150,39
40,01/07/2022,825,40
41,01/07/2022,1050,41
42,01/07/2022,2800,42
43,01/07/2022,2095,43
44,01/07/2022,1125,44
45,01/08/2022,1375,45
46,01/08/2022,2800,46
47,01/08/2022,5500,47
48,01/08/2022,1680,48
49,01/09/2022,750,49
50,01/09/2022,1100,50
51,01/09/2022,1395,51
52,01/09/2022,845,52
53,01/10/2022,720,53
54,01/10/2022,2800,54
55,01/10/2022,2225,55
56,01/10/2022,2920,56
57,01/10/2022,4950,57
58,01/10/2022,2400,58
59,01/10/2022,1200,59
60,01/10/2022,1260,60
61,01/10/2022,2025,61
62,01/10/2022,2145,62
63,01/10/2022,1155,63
64,01/10/2022,840,64
65,01/10/2022,400,65
66,01/11/2022,1200,66
67,01/11/2022,500,67
68,01/11/2022,3675,68
69,01/11/2022,800,69
70,01/11/2022,600,70
71,01/11/2022,2700,71
72,01/12/2022,2400,72
73,01/12/2022,2100,73
74,01/12/2022,870,74
75,01/13/2022,3450,75
76,01/13/2022,400,76
77,01/13/2022,315,77
78,01/13/2022,3950,78
79,01/14/2022,1445,79
80,01/14/2022,1690,80
81,01/15/2022,2475,81
82,01/15/2022,2200,82
83,01/15/2022,3400,83
84,01/15/2022,1950,84
85,01/15/2022,4650,85
