Id,Quantity,SalesAmount,InvoiceId,ProductId
2,9,108,1,1
2,8,80,1,11
2,9,229.5,1,6
3,1,10,2,11
4,2,18.4,3,9
4,6,108,3,2
4,7,70,3,11
5,5,60,4,1
5,1,18,4,2
5,8,144,4,2
6,4,60,5,3
6,4,60,5,3
7,5,50,6,11
7,4,72,6,2
7,1,19.45,6,7
8,2,18.4,7,9
9,8,120,8,3
9,2,20,8,11
10,4,48,9,1
11,9,90,10,11
11,5,90,10,2
12,1,10,11,11
13,5,90,12,4
13,1,15,12,3
13,4,72,12,4
14,2,20,13,11
14,2,36,13,4
14,4,48,13,1
15,4,72,14,2
15,4,40,14,11
15,1,25.5,14,6
16,4,72,15,4
16,4,102,15,6
16,1,18,15,2
17,3,45,16,3
17,2,30,16,3
17,4,324,16,10
18,2,36,17,4
19,2,24,18,1
19,6,108,18,4
20,4,36.8,19,9
20,2,18.4,19,9
20,2,30,19,3
21,5,50,20,11
21,8,80,20,11
22,1,10,21,11
22,4,72,21,5
23,8,155.6,22,7
24,5,46,23,9
24,6,108,23,2
25,5,127.5,24,6
25,4,72,24,2
26,3,243,25,10
26,1,10,25,11
26,5,50,25,11
27,8,204,26,6
28,4,72,27,5
29,5,90,28,5
29,9,135,28,3
29,2,36,28,2
30,7,105,29,3
31,2,18.4,30,9
31,2,51,30,6
32,2,36,31,2
32,7,70,31,11
32,6,116.7,31,7
33,2,24,32,1
34,5,50,33,11
35,9,162,34,5
36,5,90,35,2
36,5,46,35,9
36,6,77.4,35,8
37,8,155.6,36,7
37,6,60,36,11
37,7,126,36,4
38,2,18.4,37,9
38,2,20,37,11
39,1,18,38,2
39,5,50,38,11
40,6,55.2,39,9
40,8,155.6,39,7
40,3,76.5,39,6
41,7,70,40,11
42,3,30,41,11
42,6,77.4,41,8
42,6,77.4,41,8
43,4,36.8,42,9
43,1,18,42,2
43,8,144,42,2
44,3,45,43,3
44,5,90,43,5
45,5,64.5,44,8
46,6,486,45,10
46,8,144,45,4
46,5,405,45,10
47,9,116.1,46,8
47,2,36,46,2
48,1,18,47,4
48,1,18,47,4
48,2,38.9,47,7
49,3,58.35,48,7
49,7,84,48,1
50,9,116.1,49,8
50,1,18,49,2
50,9,135,49,3
51,3,54,50,4
51,2,30,50,3
51,7,126,50,2
52,4,60,51,3
52,6,60,51,11
53,4,72,52,2
53,6,72,52,1
53,4,36.8,52,9
54,1,18,53,2
54,4,36.8,53,9
55,7,105,54,3
55,3,45,54,3
55,8,103.2,54,8
56,1,25.5,55,6
56,1,25.5,55,6
56,6,108,55,4
57,7,136.15,56,7
58,7,567,57,10
58,7,70,57,11
58,1,9.2,57,9
59,9,135,58,3
60,7,105,59,3
60,2,162,59,10
60,1,10,59,11
61,3,243,60,10
61,7,105,60,3
61,9,82.8,60,9
62,2,18.4,61,9
63,4,77.8,62,7
64,2,20,63,11
65,5,90,64,2
65,4,77.8,64,7
66,1,9.2,65,9
66,6,108,65,4
67,6,108,66,4
67,2,25.8,66,8
67,4,60,66,3
68,9,729,67,10
68,3,45,67,3
69,6,108,68,4
69,7,70,68,11
70,4,72,69,2
70,7,178.5,69,6
70,4,40,69,11
71,7,105,70,3
72,2,51,71,6
72,7,567,71,10
72,2,18.4,71,9
73,4,102,72,6
73,5,50,72,11
73,6,55.2,72,9
74,5,97.25,73,7
74,3,243,73,10
75,7,136.15,74,7
75,1,12,74,1
76,1,9.2,75,9
77,8,144,76,2
78,7,136.15,77,7
78,5,90,77,2
79,5,50,78,11
79,7,567,78,10
80,4,72,79,4
80,8,120,79,3
81,4,40,80,11
81,3,27.6,80,9
81,8,73.6,80,9
82,2,36,81,5
83,6,108,82,4
83,5,75,82,3
84,8,73.6,83,9
84,1,12.9,83,8
85,7,567,84,10
85,4,40,84,11
85,6,55.2,84,9
86,6,90,85,3
87,5,405,86,10
87,5,50,86,11
87,4,72,86,2
88,1,19.45,87,7
88,7,90.3,87,8
88,8,103.2,87,8
89,8,80,88,11
90,7,126,89,2
90,6,108,89,4
90,7,64.4,89,9
91,3,58.35,90,7
91,1,81,90,10
91,5,75,90,3
92,1,18,91,4
92,6,60,91,11
93,7,126,92,5
93,2,36,92,2
94,2,18.4,93,9
94,5,97.25,93,7
94,2,20,93,11
95,9,90,94,11
95,1,15,94,3
96,6,108,95,2
97,2,36,96,2
97,8,80,96,11
98,9,729,97,10
98,9,90,97,11
99,4,40,98,11
100,5,46,99,9
100,3,27.6,99,9
100,1,18,99,4
101,1,12,100,1
101,3,54,100,2
101,5,90,100,2
102,6,60,101,11
102,6,77.4,101,8
102,8,73.6,101,9
103,3,54,102,2
103,8,144,102,2
103,7,567,102,10
104,9,82.8,103,9
104,5,90,103,2
105,3,45,104,3
106,1,9.2,105,9
106,6,153,105,6
106,4,51.6,105,8
107,6,72,106,1
108,8,80,107,11
108,7,136.15,107,7
109,8,73.6,108,9
109,2,24,108,1
110,6,60,109,11
111,1,9.2,110,9
111,3,38.7,110,8
112,3,54,111,5
112,1,10,111,11
113,3,30,112,11
113,4,51.6,112,8
114,4,72,113,2
114,6,72,113,1
115,6,60,114,11
115,4,102,114,6
116,9,135,115,3
116,7,84,115,1
117,3,38.7,116,8
117,9,82.8,116,9
117,5,60,116,1
118,7,70,117,11
118,4,72,117,2
118,4,36.8,117,9
119,2,18.4,118,9
119,8,648,118,10
120,6,55.2,119,9
120,1,81,119,10
120,4,36.8,119,9
121,9,162,120,2
121,5,60,120,1
121,9,116.1,120,8
122,7,84,121,1
122,3,36,121,1
123,2,18.4,122,9
124,3,36,123,1
124,2,20,123,11
125,2,36,124,5
125,2,36,124,2
125,4,40,124,11
126,3,27.6,125,9
126,6,60,125,11
127,2,36,126,4
127,8,96,126,1
128,4,60,127,3
129,2,36,128,4
129,1,10,128,11
129,5,405,128,10
130,7,64.4,129,9
130,6,108,129,2
131,1,9.2,130,9
131,5,50,130,11
132,2,20,131,11
132,1,15,131,3
132,4,40,131,11
133,5,64.5,132,8
134,7,126,133,2
134,6,108,133,2
135,1,10,134,11
135,4,72,134,2
135,4,72,134,2
136,3,54,135,4
136,6,77.4,135,8
137,3,54,136,2
137,4,40,136,11
137,6,55.2,136,9
138,5,405,137,10
139,8,96,138,1
139,3,30,138,11
140,4,36.8,139,9
140,2,162,139,10
141,8,80,140,11
142,7,90.3,141,8
142,3,54,141,5
142,1,18,141,4
143,9,116.1,142,8
144,4,72,143,4
144,8,144,143,2
145,2,20,144,11
145,4,60,144,3
146,6,55.2,145,9
146,7,84,145,1
146,2,30,145,3
147,1,18,146,5
147,1,19.45,146,7
148,7,84,147,1
148,5,75,147,3
149,5,75,148,3
149,3,38.7,148,8
149,8,80,148,11
150,4,72,149,5
150,3,54,149,2
151,4,51.6,150,8
151,2,30,150,3
152,8,120,151,3
153,6,60,152,11
153,9,108,152,1
154,2,36,153,4
154,4,72,153,4
154,8,73.6,153,9
155,7,70,154,11
155,2,36,154,4
156,1,12.9,155,8
156,7,126,155,2
157,8,80,156,11
157,5,50,156,11
157,7,567,156,10
158,3,45,157,3
158,8,73.6,157,9
159,4,51.6,158,8
159,4,72,158,2
159,1,18,158,4
160,2,36,159,2
161,5,90,160,4
162,2,30,161,3
163,9,82.8,162,9
164,5,405,163,10
164,7,105,163,3
164,7,64.4,163,9
165,8,73.6,164,9
166,8,120,165,3
167,2,20,166,11
167,6,108,166,5
168,8,96,167,1
169,1,18,168,2
170,7,70,169,11
170,7,126,169,2
171,1,25.5,170,6
172,4,51.6,171,8
172,4,324,171,10
172,6,72,171,1
173,4,72,172,4
174,4,72,173,2
174,2,25.8,173,8
175,4,60,174,3
175,3,76.5,174,6
175,3,30,174,11
176,2,25.8,175,8
176,1,25.5,175,6
177,4,60,176,3
177,2,36,176,2
177,8,120,176,3
178,4,324,177,10
178,8,648,177,10
178,8,144,177,5
179,4,72,178,5
179,3,30,178,11
180,6,108,179,5
180,3,243,179,10
181,9,729,180,10
181,7,70,180,11
182,3,54,181,2
182,8,80,181,11
182,3,30,181,11
183,2,18.4,182,9
183,4,36.8,182,9
183,1,12,182,1
184,9,162,183,5
185,5,46,184,9
185,8,144,184,5
185,7,567,184,10
186,9,162,185,2
186,4,72,185,2
187,6,60,186,11
188,3,54,187,5
188,1,18,187,2
189,3,38.7,188,8
189,1,10,188,11
189,5,50,188,11
190,7,70,189,11
191,2,20,190,11
191,1,18,190,4
191,1,15,190,3
192,3,27.6,191,9
192,9,135,191,3
192,2,36,191,5
193,1,12.9,192,8
194,9,162,193,2
194,4,40,193,11
195,9,729,194,10
195,7,178.5,194,6
196,1,18,195,2
196,2,36,195,2
196,5,90,195,2
197,9,162,196,2
197,3,58.35,196,7
197,4,40,196,11
198,5,46,197,9
199,7,105,198,3
199,4,102,198,6
199,6,72,198,1
200,7,567,199,10
201,7,126,200,2
201,6,55.2,200,9
201,2,24,200,1
202,4,77.8,201,7
203,9,82.8,202,9
203,4,60,202,3
204,2,36,203,2
204,4,77.8,203,7
205,2,18.4,204,9
205,5,97.25,204,7
205,2,20,204,11
206,1,15,205,3
207,9,135,206,3
207,1,10,206,11
207,2,38.9,206,7
208,1,15,207,3
208,2,36,207,5
209,9,135,208,3
210,1,19.45,209,7
210,8,80,209,11
210,8,80,209,11
211,7,178.5,210,6
212,7,178.5,211,6
213,2,18.4,212,9
213,1,18,212,2
213,4,72,212,4
214,6,60,213,11
214,3,243,213,10
215,7,126,214,5
216,8,96,215,1
216,2,162,215,10
216,8,80,215,11
217,4,60,216,3
217,6,60,216,11
217,9,108,216,1
218,3,58.35,217,7
218,2,25.8,217,8
219,2,36,218,2
