InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,417.5,1
2,01/02/2021,10,2
3,01/02/2021,196.4,3
4,01/03/2021,222,4
5,01/03/2021,120,5
6,01/04/2021,141.45,6
7,01/05/2021,18.4,7
8,01/06/2021,140,8
9,01/06/2021,48,9
10,01/07/2021,180,10
11,01/08/2021,10,11
12,01/08/2021,177,12
13,01/09/2021,104,13
14,01/10/2021,137.5,14
15,01/11/2021,192,15
16,01/12/2021,399,16
17,01/12/2021,36,17
18,01/13/2021,132,18
19,01/13/2021,85.19999999999999,19
20,01/14/2021,130,20
21,01/15/2021,82,21
22,01/16/2021,155.6,22
23,01/17/2021,154,23
24,01/18/2021,199.5,24
25,01/19/2021,303,25
26,01/20/2021,204,26
27,01/21/2021,72,27
28,01/22/2021,261,28
29,01/22/2021,105,29
30,01/23/2021,69.4,30
31,01/23/2021,222.7,31
32,01/24/2021,24,32
33,01/24/2021,50,33
34,01/25/2021,162,34
35,01/26/2021,213.4,35
36,01/27/2021,341.6,36
37,01/27/2021,38.4,37
38,01/28/2021,68,38
39,01/29/2021,287.29999999999995,39
40,01/30/2021,70,40
41,01/31/2021,184.8,41
42,02/01/2021,198.8,42
43,02/01/2021,135,43
44,02/02/2021,64.5,44
45,02/03/2021,1035,45
46,02/03/2021,152.10000000000002,46
47,02/04/2021,74.9,47
48,02/05/2021,142.35,48
49,02/05/2021,269.1,49
50,02/05/2021,210,50
51,02/05/2021,120,51
52,02/06/2021,180.8,52
53,02/06/2021,54.8,53
54,02/06/2021,253.2,54
55,02/06/2021,159,55
56,02/07/2021,136.15,56
57,02/07/2021,646.2,57
58,02/08/2021,135,58
59,02/08/2021,277,59
60,02/09/2021,430.8,60
61,02/09/2021,18.4,61
62,02/09/2021,77.8,62
63,02/09/2021,20,63
64,02/10/2021,167.8,64
65,02/11/2021,117.2,65
66,02/11/2021,193.8,66
67,02/11/2021,774,67
68,02/12/2021,178,68
69,02/12/2021,290.5,69
70,02/13/2021,105,70
71,02/14/2021,636.4,71
72,02/14/2021,207.2,72
73,02/14/2021,340.25,73
74,02/14/2021,148.15,74
75,02/15/2021,9.2,75
76,02/15/2021,144,76
77,02/15/2021,226.15,77
78,02/15/2021,617,78
79,02/16/2021,192,79
80,02/16/2021,141.2,46
81,02/17/2021,36,80
82,02/17/2021,183,81
83,02/18/2021,86.5,82
84,02/19/2021,662.2,83
85,02/20/2021,90,84
86,02/20/2021,527,85
87,02/20/2021,212.95,86
88,02/20/2021,80,87
89,02/21/2021,298.4,88
90,02/21/2021,214.35,89
91,02/21/2021,78,90
92,02/21/2021,162,91
93,02/22/2021,135.65,92
94,02/22/2021,105,93
95,02/22/2021,108,94
96,02/22/2021,116,95
97,02/23/2021,819,96
98,02/23/2021,40,97
99,02/23/2021,91.6,98
100,02/23/2021,156,99
101,02/24/2021,211,100
102,02/25/2021,765,101
103,02/25/2021,172.8,102
104,02/26/2021,45,103
105,02/27/2021,213.79999999999998,104
106,02/27/2021,72,105
107,02/27/2021,216.15,106
108,02/27/2021,97.6,107
109,02/27/2021,60,46
110,02/28/2021,47.900000000000006,108
111,03/01/2021,64,109
112,03/01/2021,81.6,110
