Id,Quantity,SalesAmount,InvoiceId,ProductId
2,9,1665,1,1
2,8,400,1,12
2,9,1665,1,5
3,1,50,2,12
4,2,200,3,9
4,6,1110,3,1
4,7,350,3,12
5,5,925,4,1
5,1,185,4,1
5,8,1480,4,1
6,4,700,5,3
6,4,700,5,2
7,5,250,6,12
7,4,740,6,1
7,1,125,6,7
8,2,250,7,8
9,8,1400,8,2
9,2,100,8,12
10,4,740,9,1
11,9,450,10,12
11,5,925,10,1
12,1,50,11,12
13,5,875,12,3
13,1,175,12,2
13,4,680,12,4
14,2,100,13,12
14,2,350,13,3
14,4,740,13,1
15,4,700,14,2
15,4,200,14,12
15,1,185,14,5
16,4,680,15,4
16,4,602,15,6
16,1,185,15,1
17,3,525,16,3
17,2,350,16,2
17,4,300,16,11
18,2,340,17,4
19,2,370,18,1
19,6,1050,18,3
20,4,400,19,9
20,2,150,19,10
20,2,350,19,2
21,5,250,20,12
21,8,400,20,12
22,1,50,21,12
22,4,680,21,4
23,8,1000,22,7
24,5,625,23,8
24,6,1110,23,1
25,5,752.5,24,6
25,4,740,24,1
26,3,225,25,11
26,1,50,25,12
26,5,250,25,12
27,8,1480,26,5
28,4,680,27,4
29,5,850,28,4
29,9,1575,28,2
29,2,370,28,1
30,7,1225,29,2
31,2,150,30,10
31,2,370,30,5
32,2,370,31,1
32,7,350,31,12
32,6,750,31,7
33,2,370,32,1
34,5,250,33,12
35,9,1530,34,4
36,5,925,35,1
36,5,375,35,10
36,6,750,35,8
37,8,1000,36,7
37,6,300,36,12
37,7,1190,36,4
38,2,150,37,10
38,2,100,37,12
39,1,185,38,1
39,5,250,38,12
40,6,750,39,8
40,8,1204,39,6
40,3,451.5,39,6
41,7,525,40,11
42,3,150,41,12
42,6,750,41,8
42,6,750,41,7
43,4,300,42,10
43,1,185,42,1
43,8,1480,42,1
44,3,525,43,2
44,5,850,43,4
45,5,625,44,7
46,6,450,45,11
46,8,1400,45,3
46,5,375,45,11
47,1,50,46,12
47,6,1110,46,1
48,4,300,47,11
48,4,740,47,1
49,7,350,48,12
49,7,1053.5,48,6
49,5,925,48,5
50,9,1575,49,2
50,9,1125,49,7
51,4,200,50,12
51,7,350,50,12
52,1,125,51,8
52,6,1110,51,1
53,8,1480,52,1
54,7,1190,53,4
54,2,350,53,2
55,6,450,54,11
55,8,1000,54,8
56,6,1020,55,4
56,6,1110,55,1
57,5,375,56,10
57,7,350,56,12
57,2,340,56,4
58,4,602,57,6
59,7,875,58,8
60,1,50,59,12
61,8,800,60,9
62,6,1110,61,1
62,7,1053.5,61,6
63,8,1480,62,1
63,4,200,62,12
63,2,370,62,1
64,5,925,63,1
65,9,1665,64,1
65,1,185,64,1
65,8,1480,64,5
66,4,602,65,6
66,9,1530,65,4
67,1,100,66,9
67,6,1050,66,3
68,6,750,67,8
68,3,555,67,1
69,7,1190,68,4
69,2,100,68,12
70,3,225,69,10
70,4,680,69,4
71,7,1295,70,5
71,4,740,70,1
71,7,1295,70,5
72,8,600,71,10
73,4,740,72,5
74,1,175,73,2
74,2,250,73,8
74,5,500,73,9
75,4,500,74,7
76,9,675,75,11
77,2,150,76,11
77,3,375,76,7
78,5,925,77,5
79,4,740,78,1
80,6,903,79,6
81,4,400,80,9
81,1,185,80,1
81,6,1050,80,2
82,1,185,81,1
82,5,250,81,12
82,7,525,81,10
83,1,125,82,8
83,2,370,82,5
84,3,375,83,8
84,8,1204,83,6
85,7,875,84,7
86,1,175,85,2
87,9,450,86,12
87,5,925,86,5
88,4,700,87,3
88,9,1575,87,2
89,5,375,88,10
90,1,125,89,8
90,5,375,89,10
91,3,525,90,3
91,9,675,90,10
92,2,370,91,1
92,1,185,91,1
92,6,750,91,7
93,7,525,92,11
93,8,1400,92,2
94,7,875,93,7
94,6,600,93,9
94,5,500,93,9
95,6,1020,94,4
95,4,200,94,12
95,4,500,94,8
96,3,300,95,9
96,3,525,95,2
96,6,1110,95,1
97,6,1050,96,2
98,6,1110,97,5
99,8,1480,98,1
99,7,350,98,12
99,5,925,98,1
100,1,125,99,7
101,7,1053.5,100,6
101,2,350,100,3
102,7,875,101,7
102,7,350,101,12
103,6,1110,102,1
103,5,925,102,5
104,6,750,103,8
104,7,875,103,8
104,9,675,103,11
105,2,100,104,12
105,1,175,104,3
105,7,350,104,12
106,9,900,105,9
106,5,925,105,1
107,9,1354.5,106,6
108,1,50,107,12
108,1,50,107,12
108,6,450,107,11
109,3,225,108,11
110,9,450,109,12
110,4,740,109,1
110,8,1204,109,6
111,6,1050,110,2
111,6,750,110,7
111,1,50,110,12
112,7,350,111,12
113,3,525,112,3
114,5,375,113,11
115,7,1190,114,4
115,5,375,114,11
116,4,200,115,12
117,6,300,116,12
117,4,740,116,5
118,2,340,117,4
118,1,50,117,12
118,4,300,117,11
119,7,1225,118,2
119,1,50,118,12
120,6,1110,119,1
120,9,900,119,9
121,2,301,120,6
122,6,1050,121,2
122,9,1575,121,3
122,6,450,121,10
123,9,1125,122,8
124,7,1053.5,123,6
124,7,700,123,9
124,3,150,123,12
124,7,1225,123,2
125,7,1295,124,1
126,1,185,125,1
127,2,100,126,12
128,2,340,127,4
128,2,370,127,1
128,4,200,127,12
129,3,225,128,10
129,6,300,128,12
130,2,340,129,4
130,8,1480,129,1
131,4,200,130,12
132,8,1480,131,1
132,1,125,131,7
132,4,700,131,2
133,1,150.5,132,6
133,4,200,132,12
133,7,875,132,8
134,7,1225,133,2
135,9,1530,134,4
136,8,1480,135,5
136,6,1050,135,2
137,7,525,136,10
137,8,1480,136,1
137,1,50,136,12
138,4,740,137,5
138,6,1050,137,3
138,6,750,137,8
139,6,600,138,9
139,2,350,138,2
140,9,1125,139,7
140,5,752.5,139,6
141,7,700,140,9
142,5,875,141,3
142,6,450,141,11
143,8,600,142,10
144,6,1110,143,1
145,2,100,144,12
145,2,250,144,8
145,5,925,144,5
146,8,600,145,10
146,7,1295,145,1
147,6,300,146,12
147,7,350,146,12
147,1,125,146,7
148,7,525,147,11
148,4,500,147,7
148,5,925,147,1
149,6,1110,148,1
149,6,750,148,8
150,5,875,149,2
150,8,1480,149,1
150,5,875,149,3
151,4,500,150,8
152,9,1575,151,2
152,6,903,151,6
153,8,1400,152,2
154,1,50,153,12
155,4,740,154,1
156,2,370,155,1
156,8,1204,155,6
156,4,400,155,9
157,7,1295,156,1
158,8,400,157,12
158,5,250,157,12
158,7,525,157,11
159,1,75,158,11
159,9,1665,158,1
159,9,1665,158,5
160,9,1665,159,1
160,8,600,159,10
161,2,350,160,2
162,5,850,161,4
163,2,370,162,5
163,3,555,162,1
163,9,1665,162,1
164,6,1050,163,3
164,6,450,163,10
164,8,1204,163,6
165,4,740,164,5
165,7,525,164,10
166,6,903,165,6
166,1,150.5,165,6
167,3,555,166,1
167,8,1000,166,8
168,4,602,167,6
168,9,1665,167,5
169,7,525,168,10
170,1,175,169,2
170,7,350,169,12
170,6,300,169,12
171,5,850,170,4
172,1,175,171,2
172,3,525,171,2
173,8,400,172,12
174,6,1050,173,3
174,2,250,173,7
174,9,1575,173,2
175,1,150.5,174,6
175,7,1295,174,1
176,6,1050,175,2
176,7,525,175,10
176,4,700,175,2
177,4,602,176,6
177,7,1295,176,1
177,4,300,176,11
178,1,50,177,12
178,4,500,177,7
178,4,740,177,5
179,3,225,178,11
179,7,1190,178,4
180,4,400,179,9
180,1,50,179,12
180,8,400,179,12
180,7,1295,179,5
181,6,1050,180,2
181,5,752.5,180,6
182,6,1110,181,1
183,4,200,182,12
183,7,1225,182,2
184,6,300,183,12
185,9,450,184,12
185,8,600,184,11
185,6,300,184,12
186,7,350,185,12
187,4,200,186,12
188,5,250,187,12
189,8,1000,188,7
190,1,175,189,2
191,3,225,190,10
191,9,1575,190,2
191,2,370,190,5
192,1,125,191,7
193,6,300,192,12
194,7,1053.5,193,6
194,5,250,193,12
195,2,100,194,12
195,2,370,194,1
196,4,700,195,2
197,4,700,196,3
197,6,1050,196,3
198,4,740,197,5
198,6,1110,197,1
198,2,150,197,10
199,7,350,198,12
199,3,525,198,3
200,1,185,199,5
201,1,185,200,1
201,4,300,200,10
201,4,400,200,9
