InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,3730,1
2,01/02/2021,50,2
3,01/02/2021,1660,3
4,01/03/2021,2590,4
5,01/03/2021,1400,5
6,01/04/2021,1115,6
7,01/05/2021,250,7
8,01/06/2021,1500,8
9,01/06/2021,740,9
10,01/07/2021,1375,10
11,01/08/2021,50,11
12,01/08/2021,1730,12
13,01/09/2021,1190,13
14,01/10/2021,1085,14
15,01/11/2021,1467,15
16,01/12/2021,1175,16
17,01/12/2021,340,17
18,01/13/2021,1420,18
19,01/13/2021,900,19
20,01/14/2021,650,20
21,01/15/2021,730,21
22,01/16/2021,1000,22
23,01/17/2021,1735,23
24,01/18/2021,1492.5,24
25,01/19/2021,525,25
26,01/20/2021,1480,26
27,01/21/2021,680,27
28,01/22/2021,2795,28
29,01/22/2021,1225,29
30,01/23/2021,520,30
31,01/23/2021,1470,31
32,01/24/2021,370,32
33,01/24/2021,250,33
34,01/25/2021,1530,34
35,01/26/2021,2050,35
36,01/27/2021,2490,36
37,01/27/2021,250,37
38,01/28/2021,435,38
39,01/29/2021,2405.5,39
40,01/30/2021,525,40
41,01/31/2021,1650,41
42,02/01/2021,1965,42
43,02/01/2021,1375,43
44,02/02/2021,625,44
45,02/03/2021,2225,45
46,02/04/2021,1160,46
47,02/04/2021,1040,47
48,02/04/2021,2328.5,48
49,02/05/2021,2700,49
50,02/05/2021,550,50
51,02/05/2021,1235,51
52,02/06/2021,1480,52
53,02/06/2021,1540,53
54,02/07/2021,1450,54
55,02/08/2021,2130,55
56,02/09/2021,1065,56
57,02/10/2021,602,57
58,02/10/2021,875,58
59,02/11/2021,50,59
60,02/11/2021,800,60
61,02/12/2021,2163.5,61
62,02/12/2021,2050,62
63,02/13/2021,925,63
64,02/13/2021,3330,64
65,02/14/2021,2132,65
66,02/14/2021,1150,66
67,02/15/2021,1305,67
68,02/15/2021,1290,68
69,02/15/2021,905,69
70,02/16/2021,3330,70
71,02/17/2021,600,71
72,02/18/2021,740,72
73,02/18/2021,925,73
74,02/19/2021,500,74
75,02/19/2021,675,75
76,02/20/2021,525,76
77,02/20/2021,925,77
78,02/20/2021,740,78
79,02/21/2021,903,79
80,02/21/2021,1635,80
81,02/22/2021,960,81
82,02/22/2021,495,82
83,02/23/2021,1579,83
84,02/23/2021,875,84
85,02/23/2021,175,85
86,02/24/2021,1375,86
