InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2021,1450,1
2,01/02/2021,155,2
3,01/02/2021,1835,3
4,01/03/2021,1120,4
5,01/03/2021,240,5
6,01/04/2021,885,6
7,01/05/2021,30,7
8,01/06/2021,1270,8
9,01/06/2021,480,9
10,01/07/2021,565,10
11,01/08/2021,35,11
12,01/08/2021,100,12
13,01/09/2021,570,13
14,01/10/2021,710,14
15,01/11/2021,130,15
16,01/12/2021,270,16
17,01/12/2021,20,17
18,01/13/2021,300,18
19,01/13/2021,190,19
20,01/14/2021,905,20
21,01/15/2021,75,21
22,01/16/2021,80,22
23,01/17/2021,375,23
24,01/18/2021,530,24
25,01/19/2021,415,25
26,01/20/2021,80,26
27,01/21/2021,40,27
28,01/22/2021,1640,28
29,01/22/2021,350,29
30,01/23/2021,50,30
31,01/23/2021,1105,31
32,01/24/2021,240,32
33,01/24/2021,775,33
34,01/25/2021,90,34
35,01/26/2021,515,35
36,01/27/2021,960,36
37,01/27/2021,280,37
38,01/28/2021,195,38
39,01/29/2021,200,39
40,01/30/2021,245,40
41,01/31/2021,615,41
42,02/01/2021,1070,42
43,02/01/2021,200,43
44,02/02/2021,50,44
45,02/03/2021,465,45
46,02/03/2021,375,46
47,02/04/2021,40,47
48,02/05/2021,870,48
49,02/05/2021,1490,49
50,02/05/2021,1170,50
51,02/05/2021,1350,51
52,02/06/2021,1260,52
53,02/06/2021,110,53
54,02/06/2021,920,54
55,02/06/2021,80,55
56,02/07/2021,70,56
57,02/07/2021,505,57
58,02/08/2021,1350,58
59,02/08/2021,265,59
60,02/09/2021,1290,60
61,02/09/2021,30,61
62,02/09/2021,40,62
63,02/09/2021,270,63
64,02/10/2021,640,64
65,02/11/2021,75,65
66,02/11/2021,690,66
67,02/11/2021,465,67
68,02/12/2021,1005,68
69,02/12/2021,770,69
70,02/13/2021,1050,70
71,02/14/2021,295,71
72,02/14/2021,875,72
73,02/14/2021,155,73
74,02/14/2021,190,74
75,02/15/2021,15,75
76,02/15/2021,400,76
77,02/15/2021,320,77
78,02/15/2021,870,78
79,02/16/2021,440,79
80,02/16/2021,865,46
81,02/17/2021,20,80
82,02/17/2021,110,81
83,02/18/2021,290,82
84,02/19/2021,875,83
85,02/20/2021,300,84
86,02/20/2021,1000,85
87,02/20/2021,195,86
88,02/20/2021,1080,87
89,02/21/2021,515,88
90,02/21/2021,815,89
91,02/21/2021,220,90
92,02/21/2021,310,91
93,02/22/2021,150,92
94,02/22/2021,1365,93
95,02/22/2021,300,94
96,02/22/2021,1100,95
97,02/23/2021,630,96
98,02/23/2021,60,97
99,02/23/2021,130,98
100,02/23/2021,730,99
101,02/24/2021,1300,100
102,02/25/2021,1565,101
103,02/25/2021,735,102
104,02/26/2021,30,103
105,02/27/2021,135,104
106,02/27/2021,720,105
107,02/27/2021,190,106
108,02/27/2021,360,107
109,02/27/2021,810,46
110,02/28/2021,60,108
111,03/01/2021,165,109
112,03/01/2021,165,110
113,03/01/2021,920,111
114,03/02/2021,790,112
115,03/03/2021,1290,113
116,03/03/2021,780,114
117,03/04/2021,1425,115
118,03/04/2021,310,116
119,03/04/2021,185,117
120,03/04/2021,1185,118
121,03/04/2021,1200,119
122,03/04/2021,30,120
123,03/04/2021,630,121
124,03/04/2021,800,89
125,03/05/2021,135,122
126,03/05/2021,980,123
127,03/05/2021,200,124
128,03/05/2021,350,125
129,03/05/2021,405,46
130,03/06/2021,190,126
131,03/06/2021,580,127
132,03/06/2021,50,128
133,03/06/2021,1560,129
134,03/06/2021,435,130
135,03/06/2021,120,131
136,03/06/2021,990,132
137,03/06/2021,175,89
138,03/07/2021,1425,133
139,03/07/2021,130,134
140,03/08/2021,280,135
141,03/08/2021,145,136
142,03/08/2021,135,137
143,03/09/2021,1000,138
144,03/09/2021,350,139
145,03/09/2021,950,140
146,03/09/2021,20,141
147,03/10/2021,1090,142
148,03/11/2021,1320,143
149,03/11/2021,400,144
150,03/12/2021,80,145
151,03/12/2021,400,146
152,03/12/2021,1290,147
153,03/12/2021,180,148
154,03/12/2021,265,149
155,03/12/2021,365,150
156,03/13/2021,1500,151
157,03/13/2021,570,152
158,03/14/2021,250,153
159,03/15/2021,100,154
160,03/15/2021,50,155
161,03/16/2021,300,156
162,03/16/2021,135,157
163,03/16/2021,1330,158
164,03/17/2021,120,159
165,03/17/2021,1200,160
166,03/17/2021,310,161
167,03/17/2021,960,89
168,03/18/2021,120,162
169,03/18/2021,1925,163
170,03/18/2021,10,164
171,03/18/2021,920,165
172,03/18/2021,40,166
173,03/19/2021,230,167
174,03/19/2021,1035,168
175,03/19/2021,40,169
176,03/19/2021,700,170
177,03/19/2021,500,171
178,03/19/2021,145,172
179,03/19/2021,165,173
180,03/19/2021,1190,46
181,03/20/2021,685,174
182,03/20/2021,250,175
183,03/20/2021,90,176
184,03/20/2021,400,177
185,03/20/2021,650,178
186,03/20/2021,210,179
187,03/20/2021,150,180
188,03/21/2021,355,181
189,03/21/2021,105,182
190,03/21/2021,130,183
191,03/21/2021,1415,184
192,03/21/2021,10,185
193,03/22/2021,510,186
194,03/22/2021,385,187
195,03/22/2021,750,188
196,03/22/2021,980,189
197,03/22/2021,75,190
198,03/22/2021,1110,46
199,03/23/2021,245,191
200,03/23/2021,680,192
201,03/23/2021,40,193
202,03/23/2021,335,194
203,03/23/2021,280,195
204,03/23/2021,150,196
205,03/23/2021,50,197
206,03/24/2021,1525,198
207,03/24/2021,70,199
208,03/24/2021,1350,200
209,03/24/2021,410,201
210,03/24/2021,70,202
211,03/24/2021,70,203
212,03/25/2021,190,204
213,03/25/2021,195,205
214,03/25/2021,70,206
215,03/25/2021,1150,207
216,03/25/2021,2610,208
217,03/25/2021,60,209
218,03/25/2021,270,210
219,03/25/2021,75,46
220,03/26/2021,220,211
221,03/26/2021,1415,212
222,03/26/2021,815,213
223,03/26/2021,1690,214
224,03/26/2021,125,215
225,03/27/2021,40,216
226,03/27/2021,10,217
227,03/27/2021,840,218
228,03/27/2021,130,219
229,03/27/2021,1220,220
230,03/27/2021,415,221
231,03/28/2021,105,222
232,03/28/2021,90,223
233,03/28/2021,50,224
234,03/29/2021,75,225
235,03/29/2021,1200,226
236,03/30/2021,150,227
237,03/31/2021,960,228
238,03/31/2021,60,229
239,03/31/2021,750,230
240,03/31/2021,70,231
241,03/31/2021,115,232
242,03/31/2021,60,233
243,03/31/2021,30,234
244,04/01/2021,45,235
245,04/02/2021,220,236
246,04/02/2021,750,237
247,04/02/2021,1160,238
248,04/02/2021,70,239
249,04/02/2021,210,240
250,04/02/2021,1290,241
251,04/02/2021,120,242
252,04/02/2021,360,243
253,04/02/2021,1460,244
254,04/02/2021,295,245
255,04/02/2021,1500,246
256,04/03/2021,1000,247
257,04/04/2021,120,248
258,04/04/2021,840,249
259,04/05/2021,20,250
260,04/05/2021,185,251
261,04/05/2021,155,252
262,04/05/2021,280,253
263,04/05/2021,1110,254
264,04/05/2021,150,255
265,04/05/2021,160,256
266,04/06/2021,285,257
267,04/06/2021,390,258
268,04/06/2021,390,259
269,04/06/2021,75,260
270,04/06/2021,940,261
271,04/06/2021,600,262
272,04/07/2021,245,263
273,04/07/2021,20,264
274,04/07/2021,50,265
275,04/07/2021,330,266
276,04/07/2021,10,267
277,04/07/2021,815,268
278,04/07/2021,275,269
279,04/07/2021,315,270
280,04/07/2021,1350,271
281,04/08/2021,1595,272
282,04/08/2021,245,273
283,04/08/2021,390,274
284,04/08/2021,130,275
285,04/08/2021,280,276
286,04/08/2021,100,277
287,04/08/2021,155,278
288,04/08/2021,290,279
289,04/08/2021,80,280
290,04/08/2021,305,281
291,04/09/2021,750,282
292,04/09/2021,40,283
293,04/09/2021,1235,284
294,04/09/2021,665,272
295,04/10/2021,1400,285
296,04/10/2021,470,286
297,04/10/2021,750,287
298,04/10/2021,980,288
299,04/10/2021,125,289
300,04/10/2021,680,290
301,04/10/2021,2280,291
302,04/10/2021,990,292
303,04/10/2021,1280,293
304,04/10/2021,1080,294
305,04/11/2021,130,295
306,04/11/2021,125,296
307,04/11/2021,250,297
308,04/11/2021,70,298
309,04/11/2021,70,299
310,04/11/2021,360,46
311,04/12/2021,310,300
312,04/12/2021,185,301
313,04/12/2021,240,302
314,04/12/2021,645,303
315,04/12/2021,70,304
316,04/12/2021,1210,46
317,04/13/2021,80,305
318,04/13/2021,290,306
319,04/14/2021,890,307
320,04/14/2021,130,308
321,04/14/2021,1110,309
322,04/14/2021,1050,310
323,04/14/2021,1480,311
324,04/14/2021,275,312
325,04/14/2021,50,313
326,04/14/2021,105,314
327,04/14/2021,95,315
328,04/15/2021,110,316
329,04/15/2021,1190,317
330,04/15/2021,1510,318
331,04/15/2021,105,319
332,04/15/2021,370,320
333,04/16/2021,430,321
334,04/16/2021,105,322
335,04/16/2021,95,314
336,04/17/2021,15,323
337,04/17/2021,240,324
338,04/17/2021,355,325
339,04/17/2021,350,326
340,04/17/2021,2310,89
341,04/18/2021,1275,327
342,04/18/2021,135,328
343,04/18/2021,385,329
344,04/18/2021,150,330
345,04/19/2021,30,331
346,04/19/2021,30,332
347,04/19/2021,810,333
348,04/19/2021,385,334
349,04/19/2021,135,335
350,04/20/2021,835,336
351,04/20/2021,210,337
352,04/20/2021,1060,338
353,04/20/2021,1100,339
354,04/20/2021,790,340
355,04/21/2021,590,341
356,04/21/2021,220,342
357,04/21/2021,1250,343
358,04/21/2021,155,344
359,04/21/2021,685,345
360,04/21/2021,150,346
361,04/21/2021,80,347
362,04/22/2021,2485,348
363,04/22/2021,335,349
364,04/22/2021,335,350
365,04/22/2021,270,351
366,04/22/2021,520,352
367,04/22/2021,790,353
368,04/22/2021,50,354
369,04/23/2021,920,355
370,04/23/2021,850,356
371,04/24/2021,70,357
372,04/24/2021,1410,358
373,04/24/2021,645,359
374,04/24/2021,1400,360
375,04/24/2021,1430,361
376,04/24/2021,80,362
377,04/25/2021,720,363
378,04/25/2021,1155,364
379,04/25/2021,270,365
380,04/25/2021,1065,366
381,04/25/2021,90,367
382,04/25/2021,1535,368
383,04/26/2021,1015,369
384,04/26/2021,45,370
