InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2022,9524.15,1
2,01/02/2022,129.95,2
3,01/02/2022,8139.549999999999,3
4,01/03/2022,7470,4
5,01/03/2022,239.6,5
6,01/04/2022,3154.7,6
7,01/05/2022,59.9,7
8,01/06/2022,539.5,8
9,01/06/2022,3580,9
10,01/07/2022,3849.55,10
11,01/08/2022,149.95,11
12,01/08/2022,299.5,12
13,01/09/2022,2339.8,13
14,01/10/2022,3549.75,14
15,01/11/2022,989.6,15
16,01/12/2022,749.55,16
17,01/12/2022,59.9,17
18,01/13/2022,1169.7,18
19,01/13/2022,359.59999999999997,19
20,01/14/2022,1849.35,20
21,01/15/2022,269.75,21
22,01/16/2022,239.6,22
23,01/17/2022,4649.75,23
24,01/18/2022,4129.75,24
25,01/19/2022,1424.55,25
26,01/20/2022,239.6,26
27,01/21/2022,119.8,27
28,01/22/2022,2809.3,28
29,01/22/2022,209.65,29
30,01/23/2022,239.8,30
31,01/23/2022,2089.35,31
32,01/24/2022,990,32
33,01/24/2022,649.75,33
34,01/25/2022,269.55,34
35,01/26/2022,3129.45,35
36,01/27/2022,1798.9499999999998,36
37,01/27/2022,439.79999999999995,37
38,01/28/2022,1644.75,38
39,01/29/2022,509.15,39
40,01/30/2022,1049.6499999999999,40
41,01/31/2022,749.25,41
42,02/01/2022,9069.8,42
43,02/01/2022,239.6,43
44,02/02/2022,149.75,44
45,02/03/2022,1889.05,45
46,02/03/2022,2659.55,46
47,02/04/2022,119.8,47
48,02/05/2022,3554.85,48
49,02/05/2022,1289.1,49
50,02/05/2022,8514.75,50
51,02/05/2022,899.4999999999999,51
52,02/06/2022,10509.8,52
53,02/06/2022,619.8,53
54,02/06/2022,539.1,54
55,02/06/2022,239.6,55
56,02/07/2022,209.65,56
57,02/07/2022,2189.2499999999995,57
58,02/08/2022,269.55,58
59,02/08/2022,639.5,59
60,02/09/2022,1469.0500000000002,60
61,02/09/2022,179.9,61
62,02/09/2022,119.8,62
63,02/09/2022,449.9,63
64,02/10/2022,6094.8,64
65,02/11/2022,209.64999999999998,65
66,02/11/2022,359.4,66
67,02/11/2022,1439.3999999999999,67
68,02/12/2022,1754.35,68
69,02/12/2022,3729.45,69
70,02/13/2022,209.65,70
71,02/14/2022,1169.45,71
72,02/14/2022,1309.25,72
73,02/14/2022,599.5999999999999,73
74,02/14/2022,704.65,74
75,02/15/2022,29.95,75
76,02/15/2022,4000,76
77,02/15/2022,2709.65,77
78,02/15/2022,1699.3999999999999,78
79,02/16/2022,359.4,79
80,02/16/2022,1709.25,46
81,02/17/2022,59.9,80
82,02/17/2022,329.45,81
83,02/18/2022,749.5500000000001,82
84,02/19/2022,2129.1499999999996,83
85,02/20/2022,179.7,84
86,02/20/2022,4399.5,85
87,02/20/2022,479.2,86
88,02/20/2022,1799.6,87
89,02/21/2022,5639.349999999999,88
90,02/21/2022,389.54999999999995,89
91,02/21/2022,929.65,90
92,02/21/2022,2199.65,91
93,02/22/2022,629.55,92
94,02/22/2022,2054.5,93
95,02/22/2022,4500,94
96,02/22/2022,2539.6,95
97,02/23/2022,2699.1,96
98,02/23/2022,519.8,97
99,02/23/2022,269.55,98
100,02/23/2022,7830,99
101,02/24/2022,1679,100
102,02/25/2022,13594.65,101
103,02/25/2022,6784.55,102
104,02/26/2022,89.85,103
105,02/27/2022,329.45,104
106,02/27/2022,2970,105
107,02/27/2022,1409.25,106
108,02/27/2022,1229.6,107
109,02/27/2022,1349.6999999999998,46
110,02/28/2022,119.8,108
111,03/01/2022,314.79999999999995,109
112,03/01/2022,569.65,110
113,03/01/2022,4970,111
114,03/02/2022,899.4999999999999,112
115,03/03/2022,6534.55,113
116,03/03/2022,2834.4,114
117,03/04/2022,3269.45,115
118,03/04/2022,1259.5,116
119,03/04/2022,809.45,117
120,03/04/2022,9494.55,118
121,03/04/2022,6150,119
122,03/04/2022,179.9,120
123,03/04/2022,1934.9,121
124,03/04/2022,1959.7,89
125,03/05/2022,1049.55,122
126,03/05/2022,4019.9,123
127,03/05/2022,119.8,124
128,03/05/2022,939.6,125
129,03/05/2022,3629.65,46
130,03/06/2022,839.7,126
131,03/06/2022,1189.6499999999999,127
132,03/06/2022,149.75,128
133,03/06/2022,10670,129
134,03/06/2022,5149.95,130
135,03/06/2022,269.54999999999995,131
136,03/06/2022,4664.5,132
137,03/06/2022,749.75,89
138,03/07/2022,7549.85,133
139,03/07/2022,659.7,134
140,03/08/2022,1199.6,135
141,03/08/2022,329.45,136
142,03/08/2022,269.55,137
143,03/09/2022,4119.8,138
144,03/09/2022,379.7,139
145,03/09/2022,6864.599999999999,140
146,03/09/2022,59.9,141
147,03/10/2022,3614.75,142
148,03/11/2022,1279.1999999999998,143
149,03/11/2022,1619.8,144
150,03/12/2022,179.7,145
151,03/12/2022,239.6,146
152,03/12/2022,8954.7,147
153,03/12/2022,419.29999999999995,148
154,03/12/2022,1109.55,149
155,03/12/2022,5279.95,150
156,03/13/2022,3599,151
157,03/13/2022,809.45,152
158,03/14/2022,3149.75,153
159,03/15/2022,1500,154
160,03/15/2022,149.75,155
161,03/16/2022,59.9,156
162,03/16/2022,269.55,157
163,03/16/2022,1169.05,158
164,03/17/2022,239.6,159
165,03/17/2022,239.6,160
166,03/17/2022,439.59999999999997,161
167,03/17/2022,7160,89
168,03/18/2022,1195,162
169,03/18/2022,7874.65,163
170,03/18/2022,29.95,164
171,03/18/2022,6089.6,165
172,03/18/2022,119.8,166
173,03/19/2022,3059.9,167
174,03/19/2022,884.4999999999999,168
175,03/19/2022,89.85,169
176,03/19/2022,1859.3999999999999,170
177,03/19/2022,2038.9999999999998,171
178,03/19/2022,569.65,172
179,03/19/2022,629.55,173
180,03/19/2022,2259.2,46
181,03/20/2022,4574.450000000001,174
182,03/20/2022,1434.7,175
183,03/20/2022,269.55,176
184,03/20/2022,1739,177
185,03/20/2022,8750,178
186,03/20/2022,899.6999999999999,179
187,03/20/2022,1084.85,180
188,03/21/2022,1064.55,181
189,03/21/2022,909.6499999999999,182
190,03/21/2022,359.79999999999995,183
191,03/21/2022,599.3000000000001,184
192,03/21/2022,29.95,185
193,03/22/2022,7269.8,186
194,03/22/2022,1559.2,187
195,03/22/2022,6475,188
