InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2022,3994,1
2,01/01/2022,2590,2
3,01/02/2022,1110,3
4,01/03/2022,2220,4
5,01/03/2022,125,5
6,01/03/2022,600,6
7,01/03/2022,1663,7
8,01/03/2022,525,8
9,01/04/2022,2405,9
10,01/05/2022,700,10
11,01/05/2022,1578,11
12,01/05/2022,1920,12
13,01/06/2022,775.5,13
14,01/06/2022,1575,14
15,01/06/2022,50,15
16,01/06/2022,575,16
17,01/07/2022,1645,17
18,01/07/2022,301,18
19,01/07/2022,50,19
20,01/08/2022,825,20
21,01/09/2022,1075,21
22,01/10/2022,602,22
23,01/10/2022,250,23
24,01/10/2022,1665,24
25,01/11/2022,645,25
26,01/11/2022,370,26
27,01/12/2022,3170,27
28,01/12/2022,250,28
29,01/12/2022,1928.5,29
30,01/12/2022,625,30
31,01/12/2022,2520,31
32,01/13/2022,1675,32
33,01/14/2022,1724.5,33
34,01/14/2022,475,34
35,01/14/2022,420,35
36,01/14/2022,750,36
37,01/15/2022,902,37
38,01/15/2022,2730,38
39,01/15/2022,1006.5,39
40,01/15/2022,2455,40
41,01/15/2022,1295,41
42,01/16/2022,1520,42
43,01/16/2022,1855,43
44,01/17/2022,752.5,44
45,01/18/2022,1070,45
46,01/18/2022,1730,46
47,01/18/2022,1045,47
48,01/18/2022,400,48
49,01/19/2022,2200,49
50,01/19/2022,875,26
51,01/20/2022,125,50
52,01/20/2022,510,51
53,01/20/2022,450,52
54,01/20/2022,1480,53
55,01/20/2022,1403.5,54
56,01/21/2022,600,55
57,01/21/2022,125,56
58,01/22/2022,2340,57
59,01/22/2022,900,58
60,01/23/2022,2263,59
61,01/23/2022,301,60
62,01/23/2022,2029.5,61
63,01/23/2022,875,62
64,01/24/2022,2704.5,63
65,01/24/2022,1510,64
66,01/24/2022,625,65
67,01/24/2022,2203,66
68,01/25/2022,2638,67
69,01/25/2022,675,68
70,01/25/2022,1530,69
71,01/25/2022,500.5,26
72,01/26/2022,2075,70
73,01/26/2022,2155,71
74,01/26/2022,700,72
75,01/27/2022,2279,73
76,01/27/2022,3510,74
77,01/27/2022,602,75
78,01/28/2022,925,76
79,01/28/2022,975,77
80,01/29/2022,1750,78
81,01/29/2022,1925,79
82,01/29/2022,800,80
83,01/30/2022,1153,81
84,01/30/2022,1275,82
85,01/30/2022,1110,83
86,01/31/2022,1425,84
87,02/01/2022,790,85
88,02/01/2022,301,86
89,02/01/2022,1410,87
90,02/01/2022,2250,88
91,02/01/2022,200,89
92,02/02/2022,1285,90
93,02/02/2022,1088,91
94,02/02/2022,1423.5,92
95,02/03/2022,3500,93
96,02/03/2022,1897,94
97,02/03/2022,50,95
98,02/03/2022,3885,96
99,02/03/2022,1790,97
100,02/03/2022,575,98
101,02/03/2022,700,99
102,02/03/2022,555,100
103,02/04/2022,450,101
104,02/04/2022,1800,102
105,02/04/2022,770,103
106,02/04/2022,1585,104
107,02/04/2022,2235,105
108,02/04/2022,2210,106
109,02/04/2022,525,107
110,02/04/2022,1410,90
111,02/05/2022,175,108
112,02/05/2022,875,109
113,02/05/2022,510,110
114,02/05/2022,1480,90
115,02/06/2022,1891.5,111
116,02/06/2022,602,112
117,02/06/2022,850.5,113
118,02/06/2022,1000,114
119,02/06/2022,900.5,115
120,02/07/2022,525,116
121,02/07/2022,2025,26
122,02/07/2022,400,116
123,02/08/2022,2375,117
124,02/08/2022,670,118
125,02/08/2022,1800,119
126,02/08/2022,2150,120
127,02/09/2022,600,121
128,02/09/2022,875,122
129,02/09/2022,2730,123
130,02/09/2022,1053.5,124
131,02/09/2022,250,125
132,02/10/2022,125,126
133,02/10/2022,2383,127
134,02/10/2022,1226,128
135,02/10/2022,1125,129
136,02/10/2022,2050,130
137,02/10/2022,1980.5,131
138,02/10/2022,175,132
139,02/10/2022,1285,133
140,02/10/2022,1025,134
141,02/10/2022,185,90
142,02/11/2022,925,135
143,02/12/2022,555,136
144,02/12/2022,185,137
145,02/12/2022,675,138
146,02/12/2022,975,139
147,02/12/2022,1650,140
148,02/12/2022,1128.5,141
149,02/12/2022,2520,142
150,02/13/2022,500,143
151,02/13/2022,2330,144
152,02/13/2022,1510,145
153,02/13/2022,1910,146
154,02/13/2022,1805,147
155,02/13/2022,1450,148
156,02/14/2022,650,149
157,02/14/2022,926,150
158,02/14/2022,1865,151
159,02/14/2022,775,152
160,02/14/2022,2975,153
161,02/14/2022,850.5,154
162,02/14/2022,2045,155
163,02/14/2022,650,156
164,02/15/2022,1275,157
165,02/15/2022,2755,158
166,02/15/2022,1026,159
167,02/15/2022,250.5,160
168,02/15/2022,500,161
169,02/15/2022,1480,162
170,02/15/2022,2050,163
171,02/15/2022,1052.5,164
172,02/15/2022,1725,165
173,02/15/2022,740,118
174,02/16/2022,2959.5,166
175,02/16/2022,375,167
176,02/16/2022,1305,168
177,02/16/2022,525,169
178,02/16/2022,1425,170
179,02/16/2022,1070,171
180,02/16/2022,850.5,172
181,02/16/2022,1140,173
182,02/16/2022,1480,174
183,02/17/2022,200,175
184,02/17/2022,1845,176
185,02/17/2022,3485,177
186,02/17/2022,1453.5,178
187,02/17/2022,375,179
188,02/17/2022,555,180
189,02/17/2022,3010,181
190,02/18/2022,1729.5,182
191,02/18/2022,1453,183
192,02/18/2022,350,184
193,02/18/2022,2610,185
194,02/18/2022,877.5,186
195,02/18/2022,750,187
196,02/18/2022,450,188
197,02/19/2022,1625,189
198,02/19/2022,2600,190
199,02/19/2022,375,191
200,02/19/2022,1475,192
201,02/19/2022,1875,193
202,02/20/2022,1110,194
203,02/20/2022,1475,195
204,02/20/2022,1575,196
205,02/20/2022,1001.5,197
206,02/20/2022,1575,198
207,02/20/2022,1127,199
208,02/20/2022,752.5,200
209,02/20/2022,300,201
210,02/20/2022,1370,202
211,02/21/2022,602,203
212,02/21/2022,1053,204
213,02/21/2022,1053.5,205
214,02/21/2022,2784,206
215,02/21/2022,3095,207
216,02/21/2022,375,208
217,02/22/2022,903,209
218,02/22/2022,2250,210
219,02/23/2022,501,211
220,02/24/2022,1225,212
221,02/25/2022,2325,213
222,02/25/2022,2530,214
223,02/25/2022,2140,215
224,02/25/2022,2367,216
225,02/25/2022,3428,217
226,02/25/2022,975,218
227,02/25/2022,1676.5,219
228,02/25/2022,2220,47
229,02/26/2022,650,220
230,02/26/2022,3530,221
231,02/26/2022,1090,222
232,02/26/2022,1725,151
233,02/27/2022,1575,223
234,02/27/2022,1303.5,224
235,02/27/2022,700,225
236,02/27/2022,1890,226
237,02/27/2022,895,227
238,02/27/2022,625,228
239,02/27/2022,625,90
240,02/28/2022,977.5,229
241,02/28/2022,925,230
242,02/28/2022,175,231
243,02/28/2022,1055,108
244,03/01/2022,2020,232
245,03/02/2022,3225,233
246,03/02/2022,2235,234
247,03/02/2022,2929,235
248,03/02/2022,1902,236
249,03/02/2022,1795,237
250,03/02/2022,975,238
251,03/02/2022,1975,239
252,03/02/2022,250,240
253,03/02/2022,2684,241
254,03/02/2022,740,242
255,03/02/2022,425,118
256,03/03/2022,2325,243
257,03/03/2022,1400,244
258,03/03/2022,1265,245
259,03/03/2022,150,246
260,03/03/2022,1000,247
261,03/03/2022,150,248
262,03/03/2022,1125,249
263,03/04/2022,925,250
264,03/04/2022,525,251
265,03/04/2022,555,252
266,03/04/2022,1665,253
267,03/04/2022,650,254
268,03/04/2022,1450,255
269,03/04/2022,3055,256
270,03/04/2022,451.5,257
271,03/04/2022,2405,258
272,03/04/2022,2605,259
273,03/04/2022,2552,252
274,03/05/2022,1575,260
275,03/05/2022,1665,261
276,03/05/2022,1583,262
277,03/05/2022,1565,263
278,03/05/2022,2765.5,264
279,03/05/2022,1553.5,265
280,03/05/2022,150,266
281,03/05/2022,570,267
282,03/05/2022,1125,268
283,03/05/2022,150.5,108
284,03/05/2022,2325,252
285,03/06/2022,1425,269
286,03/06/2022,2775,270
287,03/06/2022,625,271
288,03/06/2022,1325,272
289,03/06/2022,525,273
290,03/06/2022,575,274
291,03/06/2022,850.5,275
292,03/06/2022,1350,276
293,03/06/2022,1654,277
294,03/06/2022,2605,278
295,03/06/2022,570,279
296,03/06/2022,2104.5,151
297,03/07/2022,1125,280
298,03/07/2022,370,281
299,03/07/2022,2254,282
300,03/07/2022,1550,283
301,03/07/2022,2319.5,284
302,03/08/2022,2364.5,285
303,03/08/2022,300,286
304,03/08/2022,375,287
305,03/08/2022,2590,288
306,03/08/2022,555,289
307,03/08/2022,875,290
308,03/08/2022,1980,291
309,03/08/2022,1689,292
310,03/08/2022,952,293
311,03/08/2022,1665,294
312,03/08/2022,1204,295
313,03/08/2022,1025,296
314,03/08/2022,1750,297
315,03/09/2022,1110,298
316,03/09/2022,150.5,299
317,03/09/2022,2755,300
318,03/09/2022,375,301
319,03/09/2022,300,302
320,03/09/2022,925,303
321,03/10/2022,555,304
322,03/10/2022,1050,305
323,03/10/2022,250,306
324,03/10/2022,1454,307
325,03/10/2022,1600,308
326,03/10/2022,2056.5,309
327,03/10/2022,2520,310
328,03/10/2022,2100,311
329,03/10/2022,350,312
330,03/10/2022,2103.5,313
331,03/10/2022,601,314
332,03/11/2022,1225,315
333,03/11/2022,185,316
334,03/11/2022,450,317
335,03/11/2022,2065,318
336,03/11/2022,950,319
337,03/11/2022,1480,116
338,03/12/2022,250.5,320
339,03/12/2022,3549,321
340,03/12/2022,2153,322
341,03/12/2022,1380,323
342,03/12/2022,300,324
343,03/12/2022,225,325
344,03/12/2022,1979.5,326
345,03/12/2022,1354,327
346,03/12/2022,450,328
347,03/12/2022,650,329
348,03/12/2022,175,330
349,03/12/2022,475,317
350,03/13/2022,2267,331
351,03/13/2022,800,332
352,03/13/2022,2330,333
353,03/13/2022,2749.5,334
354,03/13/2022,700,335
355,03/13/2022,1350,336
356,03/13/2022,820,337
357,03/13/2022,1855,338
358,03/13/2022,1425,339
359,03/13/2022,1480,340
360,03/13/2022,1050,341
361,03/13/2022,1425,90
362,03/14/2022,50,342
363,03/14/2022,1250,343
364,03/14/2022,1480,344
365,03/15/2022,925,345
366,03/15/2022,2909.5,346
367,03/15/2022,1480,347
368,03/15/2022,1526.5,348
369,03/15/2022,2400,349
370,03/15/2022,978,350
371,03/15/2022,2525,351
372,03/15/2022,1641.5,352
373,03/15/2022,1485,353
374,03/15/2022,2290,354
375,03/15/2022,800,355
376,03/16/2022,300,356
377,03/16/2022,2253.5,357
378,03/17/2022,1240,358
379,03/17/2022,1825,359
380,03/17/2022,425,360
381,03/17/2022,875,361
382,03/17/2022,1805,362
383,03/17/2022,150,363
384,03/17/2022,1295,364
385,03/17/2022,1680,365
386,03/18/2022,1295,366
387,03/18/2022,2507,367
388,03/18/2022,1220,368
389,03/18/2022,2290,369
390,03/18/2022,1980.5,370
391,03/18/2022,1000,371
392,03/18/2022,1295,372
393,03/18/2022,555,373
394,03/18/2022,600,374
395,03/18/2022,3545,375
396,03/18/2022,1480,376
397,03/18/2022,1770,377
398,03/19/2022,901,378
399,03/19/2022,702,379
400,03/19/2022,750,380
401,03/19/2022,1870,381
402,03/20/2022,925,382
403,03/20/2022,930,383
404,03/20/2022,2445,384
405,03/20/2022,200,385
406,03/20/2022,50,386
407,03/20/2022,625,387
408,03/20/2022,525,388
409,03/20/2022,555,389
410,03/20/2022,1625,390
411,03/21/2022,2500,391
412,03/21/2022,2275,392
413,03/21/2022,150,393
414,03/22/2022,1700,394
415,03/22/2022,2580,395
416,03/22/2022,2100,396
417,03/23/2022,125,397
418,03/23/2022,2355,398
419,03/23/2022,50,399
420,03/23/2022,2125,400
421,03/23/2022,1125,401
422,03/23/2022,2095,402
423,03/23/2022,2075,403
424,03/23/2022,1561,404
425,03/23/2022,1560,90
426,03/23/2022,2684,116
427,03/24/2022,150,405
428,03/24/2022,2300,406
429,03/24/2022,1400,407
430,03/24/2022,525,408
431,03/24/2022,1834,409
432,03/24/2022,550,410
433,03/24/2022,903,411
434,03/24/2022,1704,412
435,03/24/2022,525,413
436,03/24/2022,975,414
437,03/24/2022,800,415
438,03/24/2022,900,416
439,03/24/2022,555,108
440,03/24/2022,2050,190
441,03/25/2022,655,417
442,03/25/2022,2210,418
443,03/25/2022,1076.5,419
444,03/25/2022,2632.5,420
445,03/25/2022,1754.5,421
446,03/25/2022,750.5,422
447,03/25/2022,1440,423
448,03/25/2022,100,424
449,03/25/2022,1561.5,425
450,03/25/2022,3540,426
451,03/25/2022,1480,427
452,03/25/2022,1053.5,26
453,03/26/2022,1002.5,428
454,03/26/2022,675,151
455,03/27/2022,1135,429
456,03/27/2022,555,430
457,03/27/2022,1125,431
458,03/27/2022,2100,432
459,03/27/2022,150.5,433
460,03/27/2022,1429.5,434
461,03/27/2022,525,435
462,03/27/2022,75,436
463,03/27/2022,370,437
464,03/27/2022,1630.5,438
465,03/27/2022,1465,439
466,03/27/2022,125,440
467,03/28/2022,1295,441
468,03/28/2022,375,442
469,03/28/2022,2298,443
470,03/28/2022,625,444
471,03/28/2022,2640,445
472,03/28/2022,800,446
473,03/28/2022,2878.5,447
474,03/28/2022,100,448
475,03/28/2022,700,449
476,03/28/2022,1122.5,450
477,03/28/2022,2225,451
478,03/28/2022,1400,452
479,03/28/2022,1254,116
480,03/28/2022,350,250
481,03/29/2022,800,453
482,03/29/2022,300,454
483,03/29/2022,915,455
484,03/29/2022,800,456
485,03/29/2022,125,457
486,03/29/2022,1970,458
487,03/29/2022,1450,459
488,03/29/2022,200,460
489,03/29/2022,1855,461
490,03/29/2022,2631.5,462
491,03/29/2022,350,190
492,03/29/2022,875,353
493,03/30/2022,750,463
494,03/30/2022,1850,464
495,03/30/2022,1750,465
496,03/30/2022,1660,387
497,03/31/2022,535,466
498,03/31/2022,500,467
499,03/31/2022,1110,468
500,03/31/2022,185,469
501,03/31/2022,1277.5,470
502,03/31/2022,676,297
503,04/01/2022,1946,471
504,04/01/2022,802.5,472
505,04/01/2022,875,473
506,04/01/2022,680,474
507,04/01/2022,1580,475
508,04/01/2022,2403.5,476
509,04/01/2022,1252,477
510,04/01/2022,1555,478
511,04/01/2022,740,479
512,04/01/2022,1240,480
513,04/01/2022,1525,481
514,04/01/2022,225,482
515,04/01/2022,950,483
516,04/01/2022,750,484
517,04/01/2022,1627.5,485
518,04/02/2022,1750,486
519,04/02/2022,300,487
