Id,Quantity,SalesAmount,InvoiceId,ProductId
2,9,8055,1,2
2,8,1199.6,1,10
2,9,269.55,1,8
3,1,129.95,2,11
4,2,59.9,3,8
4,6,7170,3,3
4,7,909.65,3,11
5,5,2475,4,1
5,1,995,4,4
5,8,4000,4,5
6,4,119.8,5,7
6,4,119.8,5,7
7,5,1124.75,6,12
7,4,2000,6,5
7,1,29.95,6,8
8,2,59.9,7,8
9,8,239.6,8,7
9,2,299.9,8,10
10,4,3580,9,2
11,9,1349.55,10,10
11,5,2500,10,5
12,1,149.95,11,10
13,5,149.75,12,7
13,1,29.95,12,7
13,4,119.8,12,7
14,2,299.9,13,10
14,2,59.9,13,7
14,4,1980,13,1
15,4,3000,14,6
15,4,519.8,14,11
15,1,29.95,14,8
16,4,119.8,15,7
16,4,119.8,15,8
16,1,750,15,6
17,3,89.85,16,7
17,2,59.9,16,7
17,4,599.8,16,10
18,2,59.9,17,7
19,2,990,18,1
19,6,179.7,18,7
20,4,119.8,19,8
20,2,179.9,19,9
20,2,59.9,19,7
21,5,649.75,20,11
21,8,1199.6,20,10
22,1,149.95,21,10
22,4,119.8,21,7
23,8,239.6,22,8
24,5,149.75,23,8
24,6,4500,23,6
25,5,149.75,24,8
25,4,3980,24,4
26,3,449.85,25,10
26,1,224.95,25,12
26,5,749.75,25,10
27,8,239.6,26,8
28,4,119.8,27,7
29,5,149.75,28,7
29,9,269.55,28,7
29,2,2390,28,3
30,7,209.65,29,7
31,2,179.9,30,9
31,2,59.9,30,8
32,2,1000,31,5
32,7,909.65,31,11
32,6,179.7,31,8
33,2,990,32,1
34,5,649.75,33,11
35,9,269.55,34,7
36,5,2500,35,5
36,5,449.75,35,9
36,6,179.7,35,8
37,8,239.6,36,8
37,6,1349.7,36,12
37,7,209.65,36,7
38,2,179.9,37,9
38,2,259.9,37,11
39,1,995,38,4
39,5,649.75,38,11
40,6,179.7,39,8
40,8,239.6,39,8
40,3,89.85,39,8
41,7,1049.65,40,10
42,3,389.85,41,11
42,6,179.7,41,8
42,6,179.7,41,8
43,4,359.8,42,9
43,1,750,42,6
43,8,7960,42,4
44,3,89.85,43,7
44,5,149.75,43,7
45,5,149.75,44,8
46,6,899.7,45,10
46,8,239.6,45,7
46,5,749.75,45,10
47,9,269.55,46,8
47,2,2390,46,3
48,1,29.95,47,7
48,1,29.95,47,7
48,2,59.9,47,8
49,3,89.85,48,8
49,7,3465,48,1
50,9,269.55,49,8
50,1,750,49,6
50,9,269.55,49,7
51,3,89.85,50,7
51,2,59.9,50,7
51,7,8365,50,3
52,4,119.8,51,7
52,6,779.7,51,11
53,4,4780,52,3
53,6,5370,52,2
53,4,359.8,52,9
54,1,500,53,5
54,4,119.8,53,8
55,7,209.65,54,7
55,3,89.85,54,7
55,8,239.6,54,8
56,1,29.95,55,8
56,1,29.95,55,8
56,6,179.7,55,7
57,7,209.65,56,8
58,7,1049.65,57,10
58,7,1049.65,57,10
58,1,89.95,57,9
59,9,269.55,58,7
60,7,209.65,59,7
60,2,299.9,59,10
60,1,129.95,59,11
61,3,449.85,60,10
61,7,209.65,60,7
61,9,809.55,60,9
62,2,179.9,61,9
63,4,119.8,62,8
64,2,449.9,63,12
65,5,5975,64,3
65,4,119.8,64,8
66,1,29.95,65,8
66,6,179.7,65,7
67,6,179.7,66,7
67,2,59.9,66,8
67,4,119.8,66,7
68,9,1349.55,67,10
68,3,89.85,67,7
69,6,179.7,68,7
69,7,1574.65,68,12
70,4,3000,69,6
70,7,209.65,69,8
70,4,519.8,69,11
71,7,209.65,70,7
72,2,59.9,71,8
72,7,1049.65,71,10
72,2,59.9,71,8
73,4,119.8,72,8
73,5,649.75,72,11
73,6,539.7,72,9
74,5,149.75,73,8
74,3,449.85,73,10
75,7,209.65,74,8
75,1,495,74,1
76,1,29.95,75,8
77,8,4000,76,5
78,7,209.65,77,8
78,5,2500,77,5
79,5,649.75,78,11
79,7,1049.65,78,10
80,4,119.8,79,7
80,8,239.6,79,7
81,4,899.8,80,12
81,3,89.85,80,8
81,8,719.6,80,9
82,2,59.9,81,7
83,6,179.7,82,7
83,5,149.75,82,7
84,8,719.6,83,9
84,1,29.95,83,8
85,7,1049.65,84,10
85,4,899.8,84,12
85,6,179.7,84,8
86,6,179.7,85,7
87,5,749.75,86,10
87,5,649.75,86,11
87,4,3000,86,6
88,1,29.95,87,8
88,7,209.65,87,8
88,8,239.6,87,8
89,8,1799.6,88,12
90,7,5250,89,6
90,6,179.7,89,7
90,7,209.65,89,8
91,3,89.85,90,8
91,1,149.95,90,10
91,5,149.75,90,7
92,1,29.95,91,7
92,6,899.7,91,10
93,7,209.65,92,7
93,2,1990,92,4
94,2,179.9,93,9
94,5,149.75,93,8
94,2,299.9,93,10
95,9,2024.55,94,12
95,1,29.95,94,7
96,6,4500,95,6
97,2,1500,96,6
97,8,1039.6,96,11
98,9,1349.55,97,10
98,9,1349.55,97,10
99,4,519.8,98,11
100,5,149.75,99,8
100,3,89.85,99,8
100,1,29.95,99,7
101,1,495,100,1
101,3,3585,100,3
101,5,3750,100,6
102,6,779.7,101,11
102,6,179.7,101,8
102,8,719.6,101,9
103,3,2985,102,4
103,8,9560,102,3
103,7,1049.65,102,10
104,9,809.55,103,9
104,5,5975,103,3
105,3,89.85,104,7
106,1,29.95,105,8
106,6,179.7,105,8
106,4,119.8,105,8
107,6,2970,106,1
108,8,1199.6,107,10
108,7,209.65,107,8
109,8,239.6,108,8
109,2,990,108,1
110,6,1349.7,109,12
111,1,29.95,110,8
111,3,89.85,110,8
112,3,89.85,111,7
112,1,224.95,111,12
113,3,449.85,112,10
113,4,119.8,112,8
114,4,2000,113,5
114,6,2970,113,1
115,6,779.7,114,11
115,4,119.8,114,8
116,9,269.55,115,7
116,7,6265,115,2
117,3,89.85,116,8
117,9,269.55,116,8
117,5,2475,116,1
118,7,909.65,117,11
118,4,2000,117,5
118,4,359.8,117,9
119,2,59.9,118,8
119,8,1199.6,118,10
120,6,539.7,119,9
120,1,149.95,119,10
120,4,119.8,119,8
121,9,6750,120,6
121,5,2475,120,1
121,9,269.55,120,8
122,7,3465,121,1
122,3,2685,121,2
123,2,179.9,122,9
124,3,1485,123,1
124,2,449.9,123,12
125,2,59.9,124,7
125,2,1000,124,5
125,4,899.8,124,12
126,3,269.85,125,9
126,6,779.7,125,11
127,2,59.9,126,7
127,8,3960,126,1
128,4,119.8,127,7
129,2,59.9,128,7
129,1,129.95,128,11
129,5,749.75,128,10
130,7,629.65,129,9
130,6,3000,129,5
131,1,89.95,130,9
131,5,749.75,130,10
132,2,259.9,131,11
132,1,29.95,131,7
132,4,899.8,131,12
133,5,149.75,132,8
134,7,3500,133,5
134,6,7170,133,3
135,1,149.95,134,10
135,4,3000,134,6
135,4,2000,134,5
136,3,89.85,135,7
136,6,179.7,135,8
137,3,3585,136,3
137,4,899.8,136,12
137,6,179.7,136,8
138,5,749.75,137,10
139,8,7160,138,2
139,3,389.85,138,11
140,4,359.8,139,9
140,2,299.9,139,10
141,8,1199.6,140,10
142,7,209.65,141,8
142,3,89.85,141,7
142,1,29.95,141,7
143,9,269.55,142,8
144,4,119.8,143,7
144,8,4000,143,5
145,2,259.9,144,11
145,4,119.8,144,7
146,6,539.7,145,9
146,7,6265,145,2
146,2,59.9,145,7
147,1,29.95,146,7
147,1,29.95,146,8
148,7,3465,147,1
148,5,149.75,147,7
149,5,149.75,148,7
149,3,89.85,148,8
149,8,1039.6,148,11
150,4,119.8,149,7
150,3,1500,149,5
151,4,119.8,150,8
151,2,59.9,150,7
152,8,239.6,151,7
153,6,899.7,152,10
153,9,8055,152,2
154,2,59.9,153,7
154,4,119.8,153,7
154,8,239.6,153,8
155,7,1049.65,154,10
155,2,59.9,154,7
156,1,29.95,155,8
156,7,5250,155,6
157,8,1799.6,156,12
157,5,749.75,156,10
157,7,1049.65,156,10
158,3,89.85,157,7
158,8,719.6,157,9
159,4,119.8,158,8
159,4,3000,158,6
159,1,29.95,158,7
160,2,1500,159,6
161,5,149.75,160,7
162,2,59.9,161,7
163,9,269.55,162,8
164,5,749.75,163,10
164,7,209.65,163,7
164,7,209.65,163,8
165,8,239.6,164,8
166,8,239.6,165,7
167,2,259.9,166,11
167,6,179.7,166,7
168,8,7160,167,2
169,1,1195,168,3
170,7,909.65,169,11
170,7,6965,169,4
171,1,29.95,170,8
172,4,119.8,171,8
172,4,599.8,171,10
172,6,5370,171,2
173,4,119.8,172,7
174,4,3000,173,6
174,2,59.9,173,8
175,4,119.8,174,7
175,3,89.85,174,8
175,3,674.85,174,12
176,2,59.9,175,8
176,1,29.95,175,8
177,4,119.8,176,7
177,2,1500,176,6
177,8,239.6,176,7
178,4,599.8,177,10
178,8,1199.6,177,10
178,8,239.6,177,7
179,4,119.8,178,7
179,3,449.85,178,10
180,6,179.7,179,7
180,3,449.85,179,10
181,9,1349.55,180,10
181,7,909.65,180,11
182,3,2985,181,4
182,8,1199.6,181,10
182,3,389.85,181,11
183,2,179.9,182,9
183,4,359.8,182,9
183,1,895,182,2
184,9,269.55,183,7
185,5,449.75,184,9
185,8,239.6,184,7
185,7,1049.65,184,10
186,9,6750,185,6
186,4,2000,185,5
187,6,899.7,186,10
188,3,89.85,187,7
188,1,995,187,4
189,3,89.85,188,8
189,1,224.95,188,12
189,5,749.75,188,10
190,7,909.65,189,11
191,2,299.9,190,10
191,1,29.95,190,7
191,1,29.95,190,7
192,3,269.85,191,9
192,9,269.55,191,7
192,2,59.9,191,7
193,1,29.95,192,8
194,9,6750,193,6
194,4,519.8,193,11
195,9,1349.55,194,10
195,7,209.65,194,8
196,1,500,195,5
196,2,1000,195,5
196,5,4975,195,4
197,9,4500,196,5
197,3,89.85,196,8
197,4,519.8,196,11
198,5,149.75,197,8
199,7,209.65,198,7
199,4,119.8,198,8
199,6,5370,198,2
200,7,1049.65,199,10
201,7,5250,200,6
201,6,179.7,200,8
201,2,990,200,1
202,4,119.8,201,8
203,9,809.55,202,9
203,4,119.8,202,7
204,2,1990,203,4
204,4,119.8,203,8
205,2,179.9,204,9
205,5,149.75,204,8
205,2,299.9,204,10
206,1,29.95,205,7
207,9,269.55,206,7
207,1,129.95,206,11
207,2,59.9,206,8
208,1,29.95,207,7
208,2,59.9,207,7
209,9,269.55,208,7
210,1,29.95,209,8
210,8,1039.6,209,11
210,8,1199.6,209,10
211,7,209.65,210,8
212,7,209.65,211,8
213,2,59.9,212,8
213,1,1195,212,3
213,4,119.8,212,7
214,6,779.7,213,11
214,3,449.85,213,10
215,7,209.65,214,7
216,8,7160,215,2
216,2,299.9,215,10
216,8,1199.6,215,10
217,4,119.8,216,7
217,6,779.7,216,11
217,9,4455,216,1
218,3,89.85,217,8
218,2,59.9,217,8
219,2,2390,218,3
219,2,179.9,218,9
220,5,449.75,219,9
221,8,719.6,220,9
221,2,59.9,220,7
221,8,239.6,220,7
222,6,179.7,221,7
222,1,149.95,221,10
222,9,10755,221,3
223,3,89.85,222,7
223,1,149.95,222,10
223,5,149.75,222,7
224,2,59.9,223,7
224,4,119.8,223,7
224,9,269.55,223,7
225,6,179.7,224,8
225,1,149.95,224,10
226,4,119.8,225,7
227,1,29.95,226,8
228,7,6265,227,2
229,5,149.75,228,7
229,3,89.85,228,7
229,5,149.75,228,7
230,7,209.65,229,8
230,8,3960,229,1
230,1,129.95,229,11
231,8,1199.6,230,10
231,1,224.95,230,12
232,7,209.65,231,8
233,6,179.7,232,8
234,1,500,233,5
235,5,149.75,234,8
236,8,239.6,235,7
