InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2022,343.5,1
2,01/02/2022,10,2
3,01/02/2022,173.8,3
4,01/03/2022,222,4
5,01/03/2022,100,5
6,01/04/2022,141.45,6
7,01/05/2022,31.8,7
8,01/06/2022,168,8
9,01/06/2022,48,9
10,01/07/2022,183,10
11,01/08/2022,12,11
12,01/08/2022,108,12
13,01/09/2022,92,13
14,01/10/2022,123.5,14
15,01/11/2022,132.8,15
16,01/12/2022,108,16
17,01/12/2022,20,17
18,01/13/2022,84,18
19,01/13/2022,112,19
20,01/14/2022,156,20
21,01/15/2022,74,21
22,01/16/2022,155.6,22
23,01/17/2022,169.5,23
24,01/18/2022,169.25,24
25,01/19/2022,106,25
26,01/20/2022,124,26
27,01/21/2022,62,27
28,01/22/2022,221,28
29,01/22/2022,105,29
30,01/23/2022,49.4,30
31,01/23/2022,222.7,31
32,01/24/2022,24,32
33,01/24/2022,50,33
34,01/25/2022,139.5,34
35,01/26/2022,252.7,35
36,01/27/2022,285.6,36
37,01/27/2022,38.4,37
38,01/28/2022,78,38
39,01/29/2022,309.35,39
40,01/30/2022,84,40
41,01/31/2022,263.4,41
42,02/01/2022,195.8,42
43,02/01/2022,95,43
44,02/02/2022,97.25,44
45,02/03/2022,212,45
46,02/04/2022,118,46
47,02/04/2022,96,47
48,02/04/2022,283.65,48
49,02/05/2022,337.04999999999995,49
50,02/05/2022,124,50
51,02/05/2022,123.9,51
52,02/06/2022,144,52
53,02/06/2022,100,53
54,02/07/2022,199.2,54
55,02/08/2022,165,55
56,02/09/2022,136,56
57,02/10/2022,77.8,57
58,02/10/2022,136.15,58
59,02/11/2022,10,59
60,02/11/2022,73.6,60
61,02/12/2022,244.15,61
62,02/12/2022,168,62
63,02/13/2022,75,63
64,02/13/2022,250,64
65,02/14/2022,167.8,65
66,02/14/2022,75.9,66
67,02/15/2022,149.4,67
68,02/15/2022,90,68
69,02/15/2022,89.6,69
70,02/16/2022,304.65,70
71,02/17/2022,73.6,71
72,02/18/2022,62,72
73,02/18/2022,133.4,73
74,02/19/2022,77.8,74
75,02/19/2022,108,75
76,02/20/2022,82.35,76
77,02/20/2022,77.5,77
78,02/20/2022,60,78
79,02/21/2022,116.69999999999999,79
80,02/21/2022,189.6,80
81,02/22/2022,129.39999999999998,81
82,02/22/2022,50.45,82
83,02/23/2022,203.3,83
84,02/23/2022,136.15,84
85,02/23/2022,18,85
86,02/24/2022,167.5,86
87,02/24/2022,175,87
88,02/25/2022,46,88
89,02/26/2022,61.9,89
90,02/27/2022,112.8,90
91,02/27/2022,170.7,91
92,02/27/2022,204,92
93,02/28/2022,311.05,93
94,02/28/2022,171.6,94
95,03/01/2022,200.7,95
96,03/02/2022,108,96
97,03/02/2022,90,97
98,03/03/2022,274,98
99,03/04/2022,48,99
100,03/04/2022,83.6,100
101,03/04/2022,237.8,101
102,03/04/2022,148,102
103,03/04/2022,180,103
104,03/04/2022,84,104
105,03/05/2022,172.8,105
106,03/05/2022,175.04999999999998,106
107,03/05/2022,96,107
108,03/06/2022,12,108
109,03/06/2022,45,109
110,03/06/2022,120,110
111,03/06/2022,60,111
112,03/07/2022,258.7,112
113,03/07/2022,106.5,113
114,03/07/2022,108,114
115,03/07/2022,40,115
116,03/07/2022,72,116
117,03/08/2022,120.9,117
118,03/08/2022,50,118
119,03/08/2022,108,119
120,03/09/2022,236.3,120
121,03/10/2022,98,121
122,03/10/2022,127.95,122
123,03/11/2022,265.04999999999995,123
124,03/11/2022,239.8,124
125,03/11/2022,46,125
126,03/11/2022,108,126
127,03/11/2022,40,127
128,03/11/2022,124.39999999999999,128
129,03/12/2022,183.85000000000002,129
130,03/12/2022,318,130
131,03/12/2022,135,131
132,03/12/2022,309.95,132
133,03/12/2022,108,133
134,03/12/2022,90,134
135,03/13/2022,9.2,135
136,03/13/2022,96,136
137,03/13/2022,24,137
138,03/14/2022,12,138
139,03/14/2022,84,139
140,03/14/2022,126,140
141,03/14/2022,55.199999999999996,141
142,03/15/2022,272,142
143,03/15/2022,72,143
144,03/15/2022,63.5,144
145,03/15/2022,184,145
146,03/16/2022,72,146
147,03/17/2022,120,147
148,03/17/2022,34.95,148
149,03/17/2022,116.69999999999999,149
150,03/17/2022,45,150
151,03/17/2022,126,151
152,03/17/2022,144,152
153,03/18/2022,113.8,153
154,03/18/2022,120,154
155,03/18/2022,180,155
156,03/18/2022,187.2,156
157,03/18/2022,104,157
158,03/19/2022,105,158
159,03/20/2022,90,159
160,03/20/2022,172.35,160
161,03/20/2022,269.5,161
162,03/20/2022,286.65,162
163,03/21/2022,157.45,163
164,03/21/2022,72,164
165,03/22/2022,251.35,165
166,03/22/2022,186.39999999999998,166
167,03/22/2022,136.14999999999998,167
168,03/23/2022,127.2,168
169,03/23/2022,30,169
170,03/23/2022,66,170
171,03/23/2022,143.7,171
172,03/23/2022,97.25,172
173,03/23/2022,104.35,173
174,03/23/2022,40,126
175,03/24/2022,219.5,174
176,03/24/2022,97.25,175
177,03/24/2022,149.5,176
178,03/24/2022,136.14999999999998,177
179,03/24/2022,219,178
180,03/24/2022,209.54999999999998,179
181,03/25/2022,330,180
182,03/25/2022,108,181
183,03/26/2022,191.6,182
184,03/26/2022,75.6,183
185,03/26/2022,295.65,184
186,03/27/2022,54,185
187,03/27/2022,136.15,186
188,03/27/2022,92,187
189,03/27/2022,46,188
190,03/27/2022,10,189
191,03/27/2022,184.35,126
192,03/28/2022,250,190
193,03/28/2022,55.199999999999996,191
194,03/28/2022,24,192
195,03/28/2022,73.6,193
196,03/28/2022,146.9,194
197,03/28/2022,186.15,195
198,03/29/2022,36,196
199,03/30/2022,60,197
200,03/30/2022,148,198
201,03/30/2022,168.20000000000002,199
202,03/30/2022,100,200
203,03/31/2022,144,201
204,03/31/2022,126,202
205,03/31/2022,136.15,203
206,03/31/2022,228,204
207,03/31/2022,162,205
208,04/01/2022,15.9,206
209,04/01/2022,110,207
210,04/01/2022,208.15,208
211,04/01/2022,226.85,209
212,04/01/2022,176.15,210
213,04/01/2022,164.9,211
214,04/01/2022,98.55,212
215,04/02/2022,181.3,213
216,04/02/2022,210,214
217,04/02/2022,132,215
218,04/02/2022,135.6,216
219,04/03/2022,55.199999999999996,217
220,04/03/2022,47.7,218
221,04/03/2022,174,219
222,04/03/2022,80,220
223,04/03/2022,264,221
224,04/03/2022,148.5,222
225,04/03/2022,238,223
226,04/03/2022,104.60000000000001,224
227,04/04/2022,160,225
228,04/04/2022,288,226
229,04/04/2022,258.35,227
230,04/04/2022,111.3,228
231,04/04/2022,108,229
232,04/05/2022,147.7,230
233,04/05/2022,111.3,231
234,04/05/2022,95.4,232
235,04/05/2022,18,233
236,04/05/2022,95,234
237,04/06/2022,24,235
238,04/06/2022,252.65,236
239,04/06/2022,155.7,237
240,04/06/2022,201.7,238
241,04/06/2022,97.25,239
242,04/06/2022,112.7,240
243,04/06/2022,106.05,241
244,04/07/2022,326.9,242
245,04/07/2022,63,243
246,04/07/2022,136,244
247,04/07/2022,116.69999999999999,245
248,04/07/2022,148,246
249,04/07/2022,161.64999999999998,247
250,04/08/2022,281.4,248
251,04/08/2022,36.8,249
252,04/08/2022,269.9,250
253,04/08/2022,161,251
254,04/08/2022,166,252
255,04/08/2022,161.5,253
256,04/08/2022,168,254
257,04/08/2022,20,255
258,04/08/2022,240,256
259,04/09/2022,54,257
260,04/09/2022,58.349999999999994,258
261,04/09/2022,108,259
262,04/09/2022,108,260
263,04/09/2022,36,261
264,04/09/2022,48,262
265,04/09/2022,425.6,263
266,04/10/2022,205.04999999999998,264
267,04/11/2022,247.04999999999998,265
268,04/11/2022,314.7,266
269,04/11/2022,60,267
270,04/11/2022,373.04999999999995,268
271,04/12/2022,136.15,269
272,04/12/2022,55.5,270
273,04/12/2022,139.5,271
274,04/12/2022,46,272
275,04/12/2022,113.9,273
276,04/12/2022,192,274
277,04/12/2022,116,275
278,04/12/2022,137.8,126
279,04/13/2022,191.25,276
280,04/13/2022,226.15,277
281,04/13/2022,175.04999999999998,278
282,04/13/2022,72,279
283,04/13/2022,103.19999999999999,280
284,04/13/2022,97.25,281
285,04/13/2022,188.7,282
286,04/13/2022,144,283
287,04/13/2022,108,284
288,04/14/2022,271.6,285
289,04/14/2022,186,286
290,04/14/2022,90,287
291,04/14/2022,192,288
292,04/14/2022,96,289
