InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2022,1515,1
2,01/01/2022,1680,2
3,01/01/2022,140,3
4,01/01/2022,705,4
5,01/01/2022,35,5
6,01/01/2022,95,6
7,01/01/2022,295,7
8,01/02/2022,165,8
9,01/02/2022,175,9
10,01/02/2022,370,10
11,01/02/2022,105,11
12,01/02/2022,375,12
13,01/02/2022,30,13
14,01/02/2022,90,14
15,01/02/2022,15,15
16,01/02/2022,150,16
17,01/02/2022,1265,17
18,01/02/2022,50,18
19,01/02/2022,330,19
20,01/02/2022,110,20
21,01/03/2022,195,21
22,01/03/2022,480,22
23,01/03/2022,1360,23
24,01/04/2022,110,24
25,01/04/2022,325,25
26,01/04/2022,315,26
27,01/05/2022,280,27
28,01/05/2022,285,28
29,01/05/2022,265,29
30,01/05/2022,70,30
31,01/05/2022,145,31
32,01/05/2022,120,32
33,01/05/2022,335,33
34,01/05/2022,75,34
35,01/06/2022,135,35
36,01/06/2022,275,36
37,01/06/2022,2205,37
38,01/07/2022,30,38
39,01/07/2022,795,39
40,01/07/2022,45,40
41,01/07/2022,105,41
42,01/07/2022,250,42
43,01/07/2022,885,43
44,01/07/2022,345,44
45,01/08/2022,75,45
46,01/08/2022,1005,46
47,01/08/2022,505,47
48,01/08/2022,1225,48
49,01/09/2022,60,49
50,01/09/2022,105,50
51,01/09/2022,1215,51
52,01/09/2022,165,52
53,01/10/2022,810,53
54,01/10/2022,400,54
55,01/10/2022,125,55
56,01/10/2022,930,56
57,01/10/2022,1110,57
58,01/10/2022,420,58
59,01/10/2022,170,59
60,01/10/2022,70,60
61,01/10/2022,90,61
62,01/10/2022,115,62
63,01/10/2022,290,63
64,01/10/2022,330,64
65,01/10/2022,60,65
66,01/11/2022,280,66
67,01/11/2022,625,67
68,01/11/2022,1245,68
69,01/11/2022,140,69
70,01/11/2022,50,70
71,01/11/2022,600,71
72,01/12/2022,280,72
73,01/12/2022,400,73
74,01/12/2022,420,74
75,01/13/2022,615,75
76,01/13/2022,620,76
77,01/13/2022,135,77
78,01/13/2022,870,78
79,01/14/2022,305,79
80,01/14/2022,680,80
81,01/15/2022,135,81
82,01/15/2022,120,82
83,01/15/2022,940,83
84,01/15/2022,160,84
85,01/15/2022,630,85
86,01/15/2022,60,86
87,01/15/2022,315,87
88,01/15/2022,20,88
89,01/15/2022,420,89
90,01/15/2022,135,90
91,01/15/2022,90,91
92,01/15/2022,315,92
93,01/15/2022,1160,93
94,01/15/2022,185,94
95,01/16/2022,570,95
96,01/16/2022,100,96
97,01/17/2022,30,97
98,01/17/2022,150,98
99,01/17/2022,210,99
100,01/17/2022,1875,100
101,01/17/2022,155,101
102,01/17/2022,815,102
103,01/17/2022,600,103
104,01/17/2022,150,104
105,01/17/2022,60,105
106,01/17/2022,600,50
107,01/18/2022,465,106
108,01/18/2022,935,107
109,01/18/2022,360,108
110,01/18/2022,120,109
111,01/18/2022,1330,110
112,01/18/2022,275,111
113,01/18/2022,285,112
114,01/18/2022,1260,113
115,01/18/2022,360,114
116,01/18/2022,80,115
117,01/18/2022,40,116
118,01/19/2022,10,117
119,01/19/2022,290,118
120,01/19/2022,120,119
121,01/20/2022,1500,120
122,01/20/2022,975,121
123,01/20/2022,135,122
124,01/20/2022,695,123
125,01/20/2022,1365,124
126,01/21/2022,380,125
127,01/21/2022,120,126
128,01/21/2022,60,127
129,01/21/2022,75,128
130,01/21/2022,330,129
131,01/21/2022,115,130
132,01/21/2022,70,131
133,01/21/2022,2310,132
134,01/21/2022,2015,133
135,01/22/2022,340,134
136,01/22/2022,135,135
137,01/22/2022,180,136
138,01/22/2022,660,137
139,01/23/2022,260,138
140,01/23/2022,90,139
141,01/23/2022,395,140
142,01/23/2022,120,141
143,01/24/2022,30,142
144,01/24/2022,1125,143
145,01/24/2022,360,144
146,01/24/2022,810,145
147,01/24/2022,90,146
148,01/24/2022,180,147
149,01/24/2022,105,148
150,01/24/2022,2180,149
151,01/24/2022,930,150
152,01/24/2022,30,151
153,01/25/2022,250,152
154,01/25/2022,30,153
155,01/25/2022,60,154
156,01/25/2022,285,155
157,01/25/2022,840,156
158,01/26/2022,90,157
159,01/26/2022,210,158
160,01/26/2022,695,159
161,01/26/2022,555,160
162,01/26/2022,255,161
163,01/26/2022,1360,162
164,01/26/2022,20,163
165,01/26/2022,75,164
166,01/26/2022,570,165
167,01/26/2022,215,166
168,01/26/2022,105,167
169,01/26/2022,245,168
170,01/26/2022,85,169
171,01/26/2022,80,170
172,01/26/2022,960,171
173,01/26/2022,310,172
174,01/27/2022,825,173
175,01/27/2022,90,174
176,01/27/2022,210,175
177,01/27/2022,330,176
178,01/27/2022,90,177
179,01/27/2022,855,178
180,01/27/2022,1275,179
181,01/27/2022,455,180
182,01/27/2022,125,181
183,01/27/2022,1890,182
184,01/27/2022,300,183
185,01/27/2022,110,184
186,01/27/2022,1365,185
